Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,group
401,1,0,6,3.509,2.987,patient
401,0,0,6,1.989,1.139,patient
401,1,1,3,2.684,3.578,patient
401,0,0,6,1.709,0.918,patient
401,0,0,6,1.379,0.453,patient
401,0,0,6,1.239,0.452,patient
401,0,0,6,1.23,0.428,patient
401,0,0,6,1.045,0.343,patient
401,1,0,6,0.854,0.394,patient
401,0,0,6,0.966,0.364,patient
401,1,0,6,2.35,1.809,patient
401,0,1,4,2.305,3.029,patient
401,0,1,2,5.026,3.589,patient
401,0,0,6,1.335,1.299,patient
401,1,1,6,1.95,1.119,patient
401,1,0,4,4.745,2.285,patient
401,1,0,6,2.19,0.479,patient
401,0,0,6,1.145,1.58,patient
401,1,1,4,3.06,1.499,patient
401,0,0,6,1.29,0.638,patient
401,1,1,4,1.635,0.955,patient
401,0,0,6,1.24,0.355,patient
401,1,1,6,2.745,0.549,patient
401,1,0,6,3,0.394,patient
401,0,0,6,1.235,0.313,patient
401,0,0,6,1.09,0.394,patient
401,0,0,4,1.045,3,patient
401,0,1,3,2.16,0.749,patient
401,1,1,3,3.045,2.789,patient
401,0,0,6,1.28,0.314,patient
401,1,1,6,1.785,0.413,patient
401,0,0,6,1.241,0.284,patient
401,1,1,4,2.685,0.574,patient
401,1,1,3,2.21,0.499,patient
401,1,1,2,2.11,2.444,patient
401,0,0,6,1.225,0.283,patient
401,1,1,3,3.916,1.819,patient
401,0,0,6,1.495,0.334,patient
401,1,1,4,1.704,0.314,patient
401,0,1,3,3.165,2.094,patient
401,0,1,6,1.657,0.204,patient
401,1,1,3,3.651,1.769,patient
401,1,1,4,3.204,0.998,patient
401,1,1,6,1.32,0.311,patient
401,1,1,6,2.865,0.309,patient
401,0,1,6,1.781,0.289,patient
401,0,0,6,1.579,0.294,patient
401,0,1,6,3.055,0.229,patient
401,0,1,6,3.82,0.579,patient
401,0,1,6,1.595,0.269,patient
401,0,0,3,1.915,2.68,patient
401,0,0,6,2.37,0.304,patient
