Subj_idx,Stimulus,Response,Confidence,RT_dec,Load,Condition,Accuracy,Task,Block
1,-45,-45,1,2.96062606800001,NaN,0.5,1,percept,1
1,-45,-45,1,1.22713795499999,NaN,0.5,1,percept,1
1,45,45,1,1.1579560040002,NaN,1,1,percept,1
1,45,-45,1,1.18343855300009,NaN,1,0,percept,1
1,-45,-45,1,1.15787268899999,NaN,0.5,1,percept,1
1,-45,45,1,1.90783235700019,NaN,1,0,percept,1
1,45,45,1,0.712822634000077,NaN,1,1,percept,1
1,-45,-45,1,1.71582780500012,NaN,0.5,1,percept,1
1,-45,-45,1,0.820038042000078,NaN,1,1,percept,1
1,45,45,2,0.786134087999926,NaN,0.5,1,percept,1
1,-45,45,2,1.73868152199998,NaN,0.5,0,percept,1
1,-45,-45,2,0.89699707900013,NaN,0.5,1,percept,1
1,-45,45,1,1.35627495799986,NaN,0.5,0,percept,1
1,45,45,1,1.64975308499993,NaN,1,1,percept,1
1,45,45,3,0.93205598700024,NaN,0.5,1,percept,1
1,45,45,1,1.23510914600001,NaN,1,1,percept,1
1,-45,-45,3,1.10555793100025,NaN,0.5,1,percept,1
1,45,-45,2,0.800330922000057,NaN,0.5,0,percept,1
1,45,-45,2,0.964583171000186,NaN,1,0,percept,1
1,45,45,3,0.612690420000035,NaN,1,1,percept,1
1,45,-45,1,1.50374626500002,NaN,1,0,percept,1
1,-45,45,1,1.79289573000005,NaN,0.5,0,percept,1
1,45,45,3,0.803620620000174,NaN,0.5,1,percept,1
1,-45,-45,1,1.57851457200013,NaN,1,1,percept,1
1,45,45,1,1.61479165900005,NaN,1,1,percept,1
1,45,45,1,0.823423778000233,NaN,0.5,1,percept,1
1,-45,45,1,0.807350903000042,NaN,0.5,0,percept,1
1,45,-45,1,0.832857502000024,NaN,1,0,percept,1
1,-45,-45,2,0.837931107000031,NaN,0.5,1,percept,1
1,-45,-45,2,1.26567748599996,NaN,1,1,percept,1
1,45,45,1,0.773566835999873,NaN,0.5,1,percept,1
1,45,45,1,0.76904150900009,NaN,0.5,1,percept,1
1,45,45,3,0.985144318000039,NaN,1,1,percept,1
1,45,45,2,0.98155510100014,NaN,1,1,percept,1
1,45,45,2,0.93033988000002,NaN,1,1,percept,1
1,-45,45,1,1.25304457800007,NaN,1,0,percept,1
1,-45,-45,3,0.89684797200016,NaN,1,1,percept,1
1,45,45,1,1.09165136799993,NaN,1,1,percept,1
1,-45,-45,1,0.681455472999914,NaN,1,1,percept,1
1,-45,-45,2,0.719940782000094,NaN,0.5,1,percept,1
1,45,45,3,0.588728906000142,NaN,0.5,1,percept,1
1,45,45,1,1.63576739199993,NaN,1,1,percept,1
1,-45,45,2,0.838328356000147,NaN,0.5,0,percept,1
1,45,45,1,1.01447248400018,NaN,0.5,1,percept,1
1,-45,-45,2,0.909870210999998,NaN,1,1,percept,1
1,45,45,2,0.833982516000106,NaN,0.5,1,percept,1
1,45,45,2,0.765056300000197,NaN,1,1,percept,1
1,45,45,2,0.64749513300012,NaN,0.5,1,percept,1
1,-45,-45,1,1.26709596299997,NaN,0.5,1,percept,1
1,-45,45,1,1.46555688700005,NaN,1,0,percept,1
1,45,-45,1,1.19239065700003,NaN,1,0,percept,1
1,45,45,1,0.67200558400009,NaN,0.5,1,percept,1
1,-45,-45,1,0.619479161000072,NaN,0.5,1,percept,1
1,45,45,1,0.664776740999969,NaN,1,1,percept,1
1,45,45,1,0.534165156999961,NaN,0.5,1,percept,1
1,45,45,1,0.552879745000155,NaN,1,1,percept,1
1,-45,45,1,0.606120106000162,NaN,0.5,0,percept,1
1,-45,-45,1,1.64229920599996,NaN,0.5,1,percept,1
1,45,45,2,0.779571452000027,NaN,1,1,percept,1
1,-45,-45,3,0.693387717000178,NaN,1,1,percept,1
1,45,45,2,0.739089966000165,NaN,1,1,percept,1
1,45,45,3,0.767252374999998,NaN,1,1,percept,1
1,45,45,2,1.24984240499998,NaN,1,1,percept,1
1,45,45,3,0.730184737000172,NaN,1,1,percept,1
1,45,45,2,1.33495538200009,NaN,1,1,percept,1
1,-45,-45,1,1.18896668100001,NaN,0.5,1,percept,1
1,45,45,3,0.671631127000182,NaN,1,1,percept,1
1,-45,45,1,1.95833399799994,NaN,0.5,0,percept,1
1,45,45,3,0.890920029000199,NaN,0.5,1,percept,1
1,45,-45,1,1.73688621100018,NaN,1,0,percept,1
1,-45,-45,1,1.07870081800002,NaN,1,1,percept,1
1,-45,-45,1,1.52678201800018,NaN,0.5,1,percept,1
1,-45,-45,3,1.2186458650001,NaN,0.5,1,percept,1
1,-45,-45,2,1.08654354700002,NaN,1,1,percept,1
1,-45,-45,3,0.767926315000068,NaN,0.5,1,percept,1
1,-45,-45,2,0.83809009200013,NaN,1,1,percept,1
1,45,45,1,1.45776673700016,NaN,0.5,1,percept,1
1,45,45,1,1.19143888000008,NaN,0.5,1,percept,1
1,-45,-45,1,1.21083300800001,NaN,0.5,1,percept,1
1,45,-45,1,0.79065030400011,NaN,0.5,0,percept,1
1,-45,45,1,2.55800567400001,NaN,0.5,0,percept,1
1,45,45,3,1.24373278899998,NaN,0.5,1,percept,1
1,-45,-45,2,1.27247102199999,NaN,1,1,percept,1
1,45,45,1,0.935576767000157,NaN,1,1,percept,1
1,-45,-45,2,1.00962406600001,NaN,0.5,1,percept,1
1,-45,45,1,1.68188535299987,NaN,0.5,0,percept,1
1,45,45,2,0.868185489000098,NaN,1,1,percept,1
1,-45,45,2,1.18874641899993,NaN,1,0,percept,1
1,45,45,1,0.994263981000131,NaN,1,1,percept,1
1,45,-45,1,1.17604467800015,NaN,1,0,percept,1
1,45,45,1,1.20750726599999,NaN,1,1,percept,1
1,-45,45,1,1.15808815100013,NaN,0.5,0,percept,1
1,45,45,1,0.80156001499995,NaN,1,1,percept,1
1,-45,-45,1,0.571246932000122,NaN,1,1,percept,1
1,45,-45,1,1.37957255700007,NaN,0.5,0,percept,1
1,-45,-45,2,0.647084794000193,NaN,0.5,1,percept,1
1,-45,-45,1,1.73814337300018,NaN,1,1,percept,1
1,-45,45,1,1.82322985899987,NaN,0.5,0,percept,1
1,-45,-45,1,0.910154091000095,NaN,0.5,1,percept,1
1,-45,-45,2,1.10380641200027,NaN,1,1,percept,1
1,-45,3,1,2.13595593400009,NaN,0.5,0,percept,1
1,-45,45,1,1.55632955999999,NaN,0.5,0,percept,1
1,45,-45,1,2.04447724500005,NaN,1,0,percept,1
1,45,45,2,1.0517320460001,NaN,0.5,1,percept,1
1,45,45,1,2.67222422100008,NaN,1,1,percept,1
1,45,45,1,1.76082906700026,NaN,0.5,1,percept,1
1,-45,45,1,1.35190911900008,NaN,0.5,0,percept,1
1,45,-45,1,1.11624752400007,NaN,0.5,0,percept,1
1,45,-45,1,1.6407591090001,NaN,1,0,percept,1
1,45,45,1,1.45257363300016,NaN,0.5,1,percept,1
1,-45,45,1,2.80272986600016,NaN,1,0,percept,1
1,45,45,1,0.704719780000232,NaN,1,1,percept,1
1,-45,-45,1,0.920627915000068,NaN,1,1,percept,1
1,45,45,3,0.841367654000123,NaN,0.5,1,percept,1
1,45,-45,1,2.40951367700018,NaN,1,0,percept,1
