Subj_idx,Stimulus,Response,Confidence,RT_dec,Task,Contrast_stair
1,1,1,2,1.340572804,oriperc,0.1
1,1,1,2,0.969674278,oriperc,0.1
1,1,1,2,2.039828915,oriperc,0.1
1,0,0,2,1.095910843,oriperc,0.0975
1,0,1,2,1.643165172,oriperc,0.0975
1,0,0,2,1.222242345,oriperc,0.1
1,1,1,2,1.163816856,oriperc,0.1
1,0,1,2,1.523570436,oriperc,0.1
1,0,1,2,1.556388274,oriperc,0.1025
1,1,1,2,1.024107665,oriperc,0.105
1,0,0,2,1.017942172,oriperc,0.105
1,1,1,2,0.875105917,oriperc,0.105
1,1,1,3,2.527406807,oriperc,0.1025
1,1,1,3,1.059298622,oriperc,0.1025
1,1,1,3,0.97151153,oriperc,0.1025
1,1,0,3,1.189140671,oriperc,0.1
1,0,0,3,1.183014037,oriperc,0.1025
1,1,1,3,0.959480803,oriperc,0.1025
1,1,1,3,1.231725104,oriperc,0.1025
1,0,0,1,2.893814834,oriperc,0.1
1,1,1,3,1.010301829,oriperc,0.1
1,1,1,4,1.966755333,oriperc,0.1
1,0,0,2,1.379328877,oriperc,0.0975
1,1,1,4,1.001563408,oriperc,0.0975
1,1,1,4,1.181717959,oriperc,0.0975
1,0,0,2,5.601251503,oriperc,0.095
1,1,1,3,2.998871843,oriperc,0.095
1,1,1,1,3.272455771,oriperc,0.095
1,1,1,2,1.354671586,oriperc,0.0925
1,1,1,2,1.078528917,oriperc,0.0925
1,1,1,3,0.873289895,oriperc,0.0925
1,1,1,3,0.92138806,oriperc,0.09
1,1,1,3,0.897121992,oriperc,0.09
1,1,1,3,0.94815643,oriperc,0.09
1,0,1,3,2.501775967,oriperc,0.0875
1,1,1,3,5.426113546,oriperc,0.09
1,0,0,3,0.885789797,oriperc,0.09
1,1,0,3,1.787648783,oriperc,0.09
1,1,1,1,5.370744434,oriperc,0.0925
1,1,1,3,0.877054003,oriperc,0.0925
1,0,0,2,0.929565955,oriperc,0.0925
1,0,0,2,2.29617935,oriperc,0.09
1,0,1,3,1.238941222,oriperc,0.09
1,0,0,3,2.009756129,oriperc,0.0925
1,1,1,3,2.726904496,oriperc,0.0925
1,0,0,2,1.060302945,oriperc,0.0925
1,0,0,2,1.773480964,oriperc,0.09
1,0,0,2,1.566298148,oriperc,0.09
1,1,0,2,1.932304571,oriperc,0.09
1,0,0,1,4.965387777,oriperc,0.0925
1,1,1,3,0.948771497,oriperc,0.0925
1,0,1,1,3.661685996,oriperc,0.0925
1,1,1,2,1.03675957,oriperc,0.095
1,1,1,2,1.113456195,oriperc,0.095
1,1,0,1,0.9087157,oriperc,0.095
1,1,1,2,1.37870069,oriperc,0.0975
1,1,1,2,1.211212041,oriperc,0.0975
1,0,0,3,0.9552146,oriperc,0.0975
1,0,0,3,1.257314123,oriperc,0.095
1,1,1,3,0.949580397,oriperc,0.095
1,1,0,3,0.847979387,oriperc,0.095
1,0,0,1,2.01759383,oriperc,0.0975
1,0,0,4,5.152536271,oriperc,0.0975
1,1,1,4,1.109844009,oriperc,0.0975
1,1,1,2,1.138506104,oriperc,0.095
1,1,1,3,1.264201445,oriperc,0.095
1,1,1,3,1.014101418,oriperc,0.095
1,1,1,3,4.913909104,oriperc,0.0925
1,1,0,1,1.266475185,oriperc,0.0925
1,0,0,1,1.081169342,oriperc,0.095
1,0,0,2,1.218356474,oriperc,0.095
1,1,1,3,0.876746709,oriperc,0.095
1,0,1,3,1.052199761,oriperc,0.0925
1,1,1,2,1.436009569,oriperc,0.095
1,1,1,2,0.864057848,oriperc,0.095
1,0,1,2,9.096587869,oriperc,0.095
1,1,0,1,1.751688206,oriperc,0.0975
1,0,0,2,0.962651267,oriperc,0.1
1,1,1,2,1.237117245,oriperc,0.1
1,0,1,3,2.205961034,oriperc,0.1
1,1,0,1,1.395451721,oriperc,0.1025
1,1,1,2,4.383952335,oriperc,0.105
1,1,1,2,1.079058096,oriperc,0.105
1,1,1,2,0.85196646,oriperc,0.105
1,0,0,2,1.089853309,oriperc,0.1025
1,0,0,2,3.054591242,oriperc,0.1025
1,0,1,3,2.236384794,oriperc,0.1025
1,1,1,3,1.694866591,oriperc,0.105
1,1,1,2,3.469906349,oriperc,0.105
1,0,1,2,1.329719067,oriperc,0.105
1,0,0,2,0.99135695,oriperc,0.1075
1,1,0,3,4.041160684,oriperc,0.1075
1,0,0,3,1.316166754,oriperc,0.11
1,1,1,3,3.776258439,oriperc,0.11
1,1,1,2,1.761394231,oriperc,0.11
1,1,0,1,0.987613735,oriperc,0.1075
1,1,1,2,1.092382662,oriperc,0.11
1,1,0,2,1.165481786,oriperc,0.11
1,0,0,2,2.341703774,oriperc,0.1125
1,0,0,2,1.260159058,oriperc,0.1125
1,0,0,3,1.083302638,oriperc,0.1
1,1,0,3,1.962532821,oriperc,0.1
1,0,0,2,1.251155846,oriperc,0.1025
1,1,1,2,1.021626106,oriperc,0.1025
1,0,0,2,1.052260129,oriperc,0.1025
1,0,0,2,1.314920963,oriperc,0.1
1,0,0,2,1.158763924,oriperc,0.1
1,1,1,3,1.04300454,oriperc,0.1
1,0,1,3,0.788167924,oriperc,0.0975
1,0,0,3,0.984365071,oriperc,0.1
1,1,0,1,2.002189855,oriperc,0.1
1,1,1,3,0.92988021,oriperc,0.1025
1,1,1,3,1.007998364,oriperc,0.1025
1,1,0,1,1.990857595,oriperc,0.1025
1,1,1,3,0.752354154,oriperc,0.105
1,1,1,3,1.005438796,oriperc,0.105
1,0,0,1,1.396343335,oriperc,0.105
1,0,0,2,1.051224519,oriperc,0.1025
1,0,1,3,1.364157442,oriperc,0.1025
1,1,1,3,0.946739465,oriperc,0.105
1,0,0,2,1.143184811,oriperc,0.105
1,0,1,3,1.626315729,oriperc,0.105
1,1,1,3,1.010109843,oriperc,0.1075
1,0,0,2,1.025610708,oriperc,0.1075
1,0,0,2,1.275766085,oriperc,0.1075
1,0,0,2,8.459762431,oriperc,0.105
1,0,0,1,2.164231695,oriperc,0.105
1,0,0,2,0.976346802,oriperc,0.105
1,1,0,2,3.256165488,oriperc,0.1025
1,0,0,2,2.586243871,oriperc,0.105
1,1,1,2,1.31461522,oriperc,0.105
1,1,1,3,1.289733595,oriperc,0.105
1,0,0,2,0.944623453,oriperc,0.1025
1,1,1,3,1.007410922,oriperc,0.1025
1,0,1,3,1.572856283,oriperc,0.1025
1,1,1,3,0.896642099,oriperc,0.105
1,0,0,2,1.556324296,oriperc,0.105
1,1,1,3,3.112675118,oriperc,0.105
1,0,1,3,1.332335325,oriperc,0.1025
1,1,1,3,1.047796886,oriperc,0.105
1,0,0,1,1.302713335,oriperc,0.105
1,0,0,2,1.651771362,oriperc,0.105
1,0,0,1,1.019829394,oriperc,0.1025
1,1,0,2,3.241226217,oriperc,0.1025
1,0,0,3,1.310222905,oriperc,0.105
1,1,0,2,0.921225204,oriperc,0.105
1,1,1,3,0.831389059,oriperc,0.1075
1,1,1,3,0.8071998,oriperc,0.1075
1,1,1,3,0.83605742,oriperc,0.1075
1,1,1,3,1.012272244,oriperc,0.105
1,0,0,2,1.411816974,oriperc,0.105
1,0,0,2,0.949994906,oriperc,0.105
1,1,1,3,1.316587883,oriperc,0.1025
1,0,0,2,4.1433758,oriperc,0.1025
1,1,1,2,4.460820826,oriperc,0.1025
1,1,1,2,1.154166554,oriperc,0.1
1,0,0,2,1.239738446,oriperc,0.1
1,1,1,1,7.323818082,oriperc,0.1
1,1,1,2,0.931975681,oriperc,0.0975
1,0,1,2,1.224734976,oriperc,0.0975
1,0,0,2,4.255029229,oriperc,0.1
1,0,0,1,2.201417427,oriperc,0.1
1,1,1,1,4.384629797,oriperc,0.1
1,0,1,2,1.825797854,oriperc,0.0975
1,1,1,3,1.332528463,oriperc,0.1
1,1,1,3,0.879242407,oriperc,0.1
1,1,1,3,1.215321375,oriperc,0.1
1,0,0,3,0.957673056,oriperc,0.0975
1,1,0,3,1.290006199,oriperc,0.0975
1,1,1,2,1.370060336,oriperc,0.1
1,0,1,2,4.362435908,oriperc,0.1
1,0,1,1,3.219412112,oriperc,0.1025
1,0,0,2,1.63652431,oriperc,0.105
1,0,0,2,1.101413314,oriperc,0.105
1,0,0,2,0.968894944,oriperc,0.105
1,0,0,2,0.940970937,oriperc,0.1025
1,0,0,2,0.871302227,oriperc,0.1025
1,0,0,2,0.823493102,oriperc,0.1025
1,1,0,2,1.159451302,oriperc,0.1
1,0,0,2,0.963888789,oriperc,0.1025
1,0,0,2,0.787029647,oriperc,0.1025
1,0,0,2,0.890298665,oriperc,0.1025
1,0,0,1,1.346992949,oriperc,0.1
1,1,1,2,1.072969321,oriperc,0.1
1,0,0,2,1.329689717,oriperc,0.1
1,1,1,2,0.758248257,oriperc,0.0975
1,0,0,2,1.060776914,oriperc,0.0975
1,1,1,2,0.851756834,oriperc,0.0975
1,1,1,2,0.862629601,oriperc,0.095
1,1,1,2,0.979688104,oriperc,0.095
1,0,1,2,2.842271528,oriperc,0.095
1,1,1,2,1.648132889,oriperc,0.0975
1,1,0,1,1.00704261,oriperc,0.0975
1,0,0,2,1.415763481,oriperc,0.1
1,1,1,1,3.725930999,oriperc,0.1
1,0,0,2,0.963593019,oriperc,0.1
1,1,1,3,1.018676681,oriperc,0.0975
1,1,1,3,0.89016924,oriperc,0.0975
1,0,0,2,1.167836799,oriperc,0.0975
1,1,1,3,0.804530553,oriperc,0.095
1,0,1,2,1.10092931,oriperc,0.099
1,0,0,2,1.124482671,oriperc,0.1015
1,1,1,3,0.891556074,oriperc,0.1015
1,1,0,2,2.806800934,oriperc,0.1015
1,1,1,3,0.851476622,oriperc,0.104
1,0,0,3,1.290818543,oriperc,0.104
1,1,1,3,0.847578579,oriperc,0.104
1,1,1,3,0.972138741,oriperc,0.1015
1,0,0,2,1.137316953,oriperc,0.1015
1,1,1,3,1.001815975,oriperc,0.1015
1,0,0,2,1.131223918,oriperc,0.099
1,0,0,2,1.748464561,oriperc,0.099
1,0,0,2,0.975096165,oriperc,0.099
1,1,1,2,3.260886223,oriperc,0.0965
1,1,0,2,1.144182608,oriperc,0.0965
1,1,1,3,1.340857644,oriperc,0.099
1,0,0,2,1.650903064,oriperc,0.099
1,0,0,2,1.187658977,oriperc,0.099
1,1,1,2,1.543674731,oriperc,0.0965
1,1,1,2,1.205364346,oriperc,0.0965
1,1,1,2,1.092291518,oriperc,0.0965
1,0,0,2,1.122185041,oriperc,0.094
1,0,0,2,1.03888046,oriperc,0.094
1,0,0,2,7.667130733,oriperc,0.094
1,1,1,2,0.976327271,oriperc,0.0915
1,1,0,1,1.757010109,oriperc,0.0915
1,0,0,1,9.501119899,oriperc,0.094
1,0,0,2,0.92942231,oriperc,0.094
1,0,1,2,1.472240551,oriperc,0.094
1,1,1,2,4.136093061,oriperc,0.0965
1,0,0,2,1.142422418,oriperc,0.0965
1,0,1,2,3.691069485,oriperc,0.0965
1,1,1,2,1.460790977,oriperc,0.099
1,0,0,2,0.804799247,oriperc,0.099
1,1,1,2,0.931984148,oriperc,0.099
1,1,0,2,0.811972038,oriperc,0.0965
1,0,0,2,1.294324266,oriperc,0.099
1,1,0,1,6.382340101,oriperc,0.099
1,1,0,2,3.862221575,oriperc,0.1015
1,0,0,3,1.426015049,oriperc,0.104
1,1,0,1,7.257469815,oriperc,0.104
1,1,1,2,1.166034986,oriperc,0.1065
1,0,0,2,1.176166414,oriperc,0.1065
1,1,0,2,1.439255512,oriperc,0.1065
1,1,0,2,2.534470334,oriperc,0.109
1,1,1,2,1.563986193,oriperc,0.1115
1,1,1,2,1.647057472,oriperc,0.1115
1,1,1,2,0.767908488,oriperc,0.1115
1,1,1,2,0.840885168,oriperc,0.109
1,1,1,2,1.605983731,oriperc,0.109
1,0,0,2,2.04974642,oriperc,0.109
1,1,0,2,1.3649267,oriperc,0.1065
1,0,0,3,1.06789917,oriperc,0.109
1,1,0,2,2.0478433,oriperc,0.109
1,1,0,1,1.798177242,oriperc,0.1115
1,0,0,2,1.00916023,oriperc,0.114
1,0,0,1,1.367280091,oriperc,0.114
1,1,1,2,1.058378028,oriperc,0.114
1,1,0,2,1.366587995,oriperc,0.1115
1,0,0,2,1.121640878,oriperc,0.114
1,0,0,2,0.824075931,oriperc,0.114
1,0,0,2,1.209416484,oriperc,0.114
1,1,0,1,1.193887971,oriperc,0.1115
1,0,0,2,6.38590094,oriperc,0.114
1,1,1,2,20.16674731,oriperc,0.114
1,0,0,2,1.160713113,oriperc,0.114
1,1,1,2,1.119733482,oriperc,0.1115
1,1,1,2,0.717865411,oriperc,0.1115
1,0,0,2,0.94396226,oriperc,0.1115
1,0,0,2,1.337851761,oriperc,0.109
1,1,0,2,1.616210714,oriperc,0.109
1,0,1,3,1.129129071,oriperc,0.1115
1,0,0,1,1.259923953,oriperc,0.114
1,1,1,2,0.85284396,oriperc,0.114
1,0,0,2,1.169284344,oriperc,0.114
1,0,0,2,0.944393354,oriperc,0.1115
1,1,1,3,1.041709689,oriperc,0.1115
1,1,1,3,1.096530342,oriperc,0.1115
1,0,0,2,1.06923963,oriperc,0.109
1,1,1,3,0.894177975,oriperc,0.109
1,1,1,3,1.053524079,oriperc,0.109
1,1,1,2,2.516026173,oriperc,0.1065
1,0,0,3,0.949132702,oriperc,0.1065
1,0,1,2,1.227493456,oriperc,0.1065
1,1,0,1,1.149596342,oriperc,0.109
1,0,0,1,0.985750105,oriperc,0.1115
1,0,1,2,0.926117377,oriperc,0.1115
1,0,1,2,1.1597306,oriperc,0.114
1,1,1,2,0.869363877,oriperc,0.1165
1,1,1,2,0.857885782,oriperc,0.1165
1,1,0,2,1.21767944,oriperc,0.1165
1,0,0,2,5.132496705,oriperc,0.119
1,0,0,2,2.487651918,oriperc,0.119
1,0,0,2,0.816037693,oriperc,0.119
1,1,1,2,0.928725234,oriperc,0.1165
1,0,0,2,0.970113501,oriperc,0.1165
1,0,0,2,1.579730936,oriperc,0.1165
1,0,1,2,1.270303698,oriperc,0.114
1,1,1,2,1.149622851,oriperc,0.1165
1,0,0,2,0.775222569,oriperc,0.1165
1,-1,-1,3,0.59511914,contrast,0.0635
1,-1,1,3,0.620686226,contrast,0.0635
1,-1,-1,3,0.575978739,contrast,0.0685
1,1,1,3,0.600863293,contrast,0.0685
1,1,-1,3,0.820131315,contrast,0.0685
1,-1,-1,3,0.648955236,contrast,0.0735
1,-1,-1,3,0.628882675,contrast,0.0735
1,-1,-1,3,0.571634501,contrast,0.0735
1,-1,-1,3,0.588477158,contrast,0.0685
1,-1,-1,3,0.696335194,contrast,0.0685
1,-1,-1,3,1.343688411,contrast,0.0685
1,1,1,3,0.683435123,contrast,0.0635
1,1,1,3,0.643120765,contrast,0.0635
1,-1,-1,3,0.696040364,contrast,0.0635
1,-1,-1,3,0.659273677,contrast,0.0585
1,1,1,3,0.500431623,contrast,0.0585
1,1,1,3,1.087428573,contrast,0.0585
1,-1,-1,3,0.679166574,contrast,0.0535
1,1,1,2,1.497717242,contrast,0.0535
1,1,1,2,1.226635147,contrast,0.0535
1,1,-1,2,0.731109402,contrast,0.0485
1,1,1,2,0.823332986,contrast,0.0535
1,1,-1,2,0.846862928,contrast,0.0535
1,1,1,3,1.222105425,contrast,0.0585
1,1,-1,1,2.302994345,contrast,0.0585
1,-1,-1,1,2.868706531,contrast,0.0635
1,-1,-1,3,0.658874706,contrast,0.0635
1,1,1,3,1.276316463,contrast,0.0635
1,1,1,2,1.182737283,contrast,0.0585
1,-1,1,2,1.877052251,contrast,0.0585
1,1,1,2,2.205857448,contrast,0.0635
1,-1,1,3,1.228289456,contrast,0.0635
1,-1,-1,3,0.892595139,contrast,0.0685
1,-1,-1,3,0.762913512,contrast,0.0685
1,-1,-1,3,0.694875145,contrast,0.0685
1,1,1,3,1.079246894,contrast,0.0635
1,-1,-1,3,0.726083353,contrast,0.0635
1,1,1,3,2.078502751,contrast,0.0635
1,1,1,2,1.001663181,contrast,0.0585
1,1,1,3,1.273659024,contrast,0.0585
1,1,1,3,1.403025113,contrast,0.0585
1,-1,-1,2,0.930441161,contrast,0.0535
1,1,1,3,0.74949697,contrast,0.0535
1,-1,-1,2,1.115009963,contrast,0.0535
1,-1,1,3,2.044016436,contrast,0.0485
1,1,-1,3,0.982902556,contrast,0.0535
1,1,1,2,0.780809753,contrast,0.0585
1,-1,-1,2,0.596754429,contrast,0.0585
1,1,-1,2,1.084187197,contrast,0.0585
1,-1,1,1,0.994994813,contrast,0.0635
1,-1,-1,2,0.696653018,contrast,0.0685
1,-1,-1,3,0.750894707,contrast,0.0685
1,1,1,3,0.675117689,contrast,0.0685
1,1,1,3,1.041076656,contrast,0.0635
1,-1,-1,2,0.799728991,contrast,0.0635
1,1,1,3,0.747388467,contrast,0.0635
1,1,1,2,1.075450953,contrast,0.0585
1,1,1,2,0.848062428,contrast,0.0585
1,1,1,2,0.845525498,contrast,0.0585
1,1,1,2,0.69172963,contrast,0.0535
1,-1,1,2,0.787474252,contrast,0.0535
1,-1,1,2,1.105065042,contrast,0.0585
1,-1,-1,1,2.162295805,contrast,0.0635
1,-1,-1,2,0.725457708,contrast,0.0635
1,-1,-1,2,0.65618617,contrast,0.0635
1,1,1,1,1.099433934,contrast,0.0585
1,-1,-1,2,0.846513831,contrast,0.0585
1,-1,1,2,0.673594934,contrast,0.0585
1,-1,-1,2,1.752558554,contrast,0.0635
1,1,1,2,0.73665827,contrast,0.0635
1,-1,-1,2,1.018981254,contrast,0.0635
1,1,1,3,0.732662402,contrast,0.0585
1,1,1,3,0.731733249,contrast,0.0585
1,1,-1,2,1.29447913,contrast,0.0585
1,1,1,3,0.789170391,contrast,0.0635
1,1,-1,1,1.033372269,contrast,0.0635
1,1,1,3,1.185637991,contrast,0.0685
1,-1,1,1,1.265456633,contrast,0.0685
1,1,-1,1,2.723054336,contrast,0.0735
1,-1,-1,2,1.053301901,contrast,0.0785
1,-1,-1,2,1.295701417,contrast,0.0785
1,-1,-1,2,0.824139133,contrast,0.0785
1,-1,-1,2,1.560113539,contrast,0.0735
1,-1,-1,1,0.884598696,contrast,0.0735
1,-1,-1,1,0.737008715,contrast,0.0735
1,-1,1,1,1.164134249,contrast,0.0685
1,1,1,1,1.241067588,contrast,0.0735
1,-1,-1,1,2.523464846,contrast,0.0735
1,-1,-1,2,0.987839735,contrast,0.0735
1,-1,-1,2,0.829737771,contrast,0.0685
1,-1,-1,2,0.760496615,contrast,0.0685
1,-1,1,2,0.739961169,contrast,0.0685
1,-1,-1,2,0.834394503,contrast,0.0735
1,-1,-1,2,0.704259721,contrast,0.0735
1,1,1,2,0.771616816,contrast,0.0735
1,1,1,2,0.768503799,contrast,0.0685
1,1,-1,2,1.681665186,contrast,0.0685
1,-1,-1,3,0.884194279,contrast,0.0735
1,1,-1,1,1.125709057,contrast,0.0735
1,1,1,1,0.833205196,contrast,0.0785
1,1,1,4,0.803511164,contrast,0.071
1,1,1,4,0.571073773,contrast,0.071
1,-1,-1,4,1.1974535,contrast,0.071
1,-1,1,4,0.556907185,contrast,0.066
1,-1,-1,4,0.60952757,contrast,0.071
1,-1,-1,4,0.599315349,contrast,0.071
1,-1,-1,4,0.567491933,contrast,0.071
1,1,1,3,0.52097346,contrast,0.066
1,1,1,3,1.035962682,contrast,0.066
1,1,1,3,0.652561853,contrast,0.066
1,1,-1,3,1.209442343,contrast,0.061
1,-1,-1,3,0.585885571,contrast,0.066
1,1,1,3,0.672620233,contrast,0.066
1,1,1,3,0.651833677,contrast,0.066
1,-1,-1,3,0.625227781,contrast,0.061
1,-1,-1,4,0.774559139,contrast,0.061
1,-1,-1,4,0.975040785,contrast,0.061
1,1,1,4,0.549810887,contrast,0.056
1,1,-1,2,3.115102231,contrast,0.056
1,-1,-1,3,0.675260642,contrast,0.061
1,1,-1,1,2.332366055,contrast,0.061
1,-1,-1,2,0.9023443,contrast,0.066
1,1,-1,2,0.609788837,contrast,0.066
1,-1,-1,2,0.642490995,contrast,0.071
1,1,1,2,1.319817984,contrast,0.071
1,-1,-1,2,0.91030067,contrast,0.071
1,-1,-1,2,0.692787586,contrast,0.066
1,-1,1,1,1.559400337,contrast,0.066
1,-1,-1,2,0.93128066,contrast,0.071
1,-1,-1,2,1.454278502,contrast,0.071
1,-1,-1,2,0.619465708,contrast,0.071
1,-1,-1,2,0.714252778,contrast,0.066
1,-1,-1,2,30.83470603,contrast,0.066
1,1,1,2,0.815652243,contrast,0.066
1,-1,-1,2,0.875117695,contrast,0.061
1,1,1,2,0.694593716,contrast,0.061
