Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Accuracy,Condition
1,2,1,4.5,3.276,1.949,0,MM
1,2,2,6,2.557,1.987,1,MM
1,2,2,6,2.31,1.778,1,MM
1,2,1,1.55,1.945,1.016,0,MM
1,2,2,5.4,1.675,1.832,1,MM
1,2,2,4.55,2.514,1.222,1,MM
1,1,1,5.05,1.332,1.593,1,MM
1,2,2,3.85,1.536,1.753,1,MM
1,1,1,5.8,1.386,1.979,1,MM
1,1,1,1.55,2.858,1.066,1,MM
1,2,2,1.8,1.998,0.995,1,MM
1,2,2,5.55,1.815,1.648,1,MM
1,1,1,2.2,1.192,1.327,1,MM
1,2,1,5.2,1.386,0.93,0,MM
1,2,2,1.95,4.899,1.334,1,MM
1,1,1,3.3,1.708,2.256,1,MM
1,2,2,5.8,3.964,1.523,1,MM
1,1,1,4.3,1.536,1.462,1,MM
1,1,2,4.9,3.255,1.457,0,MM
1,2,2,4.8,1.504,1.389,1,MM
1,2,1,1.55,4.114,0.906,0,MM
1,2,2,2.8,2.224,1.098,1,MM
1,2,1,2.1,1.826,2.082,0,MM
1,1,1,3.05,1.675,1.852,1,MM
1,1,1,5.95,1.579,1.453,1,MM
1,2,1,3.5,3.588,1.497,0,MM
1,2,2,4.5,3.91,1.061,1,MM
1,2,2,4.9,1.901,2.131,1,MM
1,2,1,2.25,2.191,1.213,0,MM
1,2,1,4.6,2.847,0.904,0,MM
1,1,1,6,1.471,1.74,1,MM
1,2,2,3.65,2.008,1.015,1,MM
1,1,1,4.55,2.202,1.693,1,MM
1,1,1,6,1.139,1.334,1,MM
1,1,1,4.7,1.837,2.97,1,MM
1,2,1,5.15,1.987,0.931,0,MM
1,1,2,1.05,2.513,0.948,0,MM
1,2,1,2.95,2.815,0.788,0,MM
1,2,1,3.35,3.051,1.057,0,MM
1,1,2,2.45,2.041,1.065,0,MM
1,1,2,2,2.481,1.029,0,MM
1,1,2,2.4,3.041,0.59,0,MM
1,1,2,6,1.901,1.09,0,MM
1,2,1,1,3.674,1.296,0,MM
1,1,1,3.8,3.598,0.759,1,MM
1,1,1,6,1.171,1.46,1,MM
1,1,1,6,1.289,2.158,1,MM
1,2,2,6,2.256,1.318,1,MM
1,1,1,2.85,4.243,1.905,1,MM
1,1,1,5.9,3.91,1.212,1,MM
1,2,2,3.85,8.046,1.527,1,MM
1,2,2,6,1.386,1.445,1,MM
1,2,2,6,1.504,1.507,1,MM
1,1,1,6,1.472,1.542,1,MM
1,1,1,6,1.589,1.504,1,MM
1,1,1,5.95,1.579,1.149,1,MM
1,1,1,6,0.87,1.215,1,MM
1,1,1,4.7,1.869,0.929,1,MM
1,2,2,6,1.494,1.563,1,MM
1,2,2,1,2.685,1.619,1,MM
1,2,2,4.5,2.536,1.031,1,MM
1,1,1,6,1.966,1.741,1,MM
1,2,2,6,1.568,1.242,1,MM
1,2,2,2.55,3.05,0.67,1,MM
1,2,2,6,2.374,1.184,1,MM
1,2,2,3.9,2.685,1.288,1,MM
1,1,1,4.8,1.558,0.922,1,MM
1,2,2,2.3,2.858,0.957,1,MM
1,2,2,6,1.783,1.351,1,MM
1,1,1,6,0.999,1.223,1,MM
1,1,2,3.2,1.644,1.46,0,MM
1,1,1,6,1.665,1.636,1,MM
1,1,2,2.05,3.717,2.661,0,MM
1,1,1,2.15,3.706,1.25,1,MM
1,1,1,5.95,1.31,1.142,1,MM
1,2,2,6,1.718,1.176,1,MM
1,1,1,6,1.644,1.035,1,MM
1,2,2,3.1,1.332,2.015,1,MM
1,1,1,2.3,3.03,1.413,1,MM
1,1,1,2.2,3.255,1.112,1,MM
1,1,1,5.2,2.6,1.801,1,MM
1,2,2,6,1.407,1.479,1,MM
1,1,1,1.55,1.515,1.284,1,MM
1,2,2,6,2.009,1.467,1,MM
1,2,2,6,1.547,1.631,1,MM
1,1,1,3.4,1.987,1.148,1,MM
1,1,1,6,1.611,1.847,1,MM
1,2,1,1,1.976,3.344,0,MM
1,2,2,6,2.868,1.705,1,MM
1,1,1,3.4,4.544,1.414,1,MM
1,1,2,1.2,1.729,1.588,0,MM
1,2,1,3.95,1.815,1.411,0,MM
1,1,1,6,2.385,1.986,1,MM
1,1,2,2,5.403,0.931,0,MM
1,2,1,2,2.503,1.165,0,MM
1,1,1,2.35,0.903,1.311,1,MM
1,2,2,6,1.944,1.151,1,MM
1,1,1,6,0.848,1.624,1,MM
1,1,1,3.5,2.267,1.205,1,MM
1,1,1,3.95,1.934,1.277,1,MM
1,2,2,6,2.772,1.292,1,MM
1,2,2,5.95,1.074,1.124,1,MM
1,1,1,5.05,0.913,1.556,1,MM
1,2,2,6,1.332,1.318,1,MM
1,1,1,3.15,3.557,1.083,1,MM
1,2,2,5.95,1.063,1.236,1,MM
1,1,1,5.5,1.311,1.695,1,MM
1,2,2,1.7,2.471,1.015,1,MM
1,1,1,5.9,2.149,1.596,1,MM
1,1,1,6,2.118,2.099,1,MM
1,1,1,2,3.201,1.684,1,MM
1,1,1,6,1.257,1.085,1,MM
1,2,2,6,1.558,2.162,1,MM
1,1,1,6,1.353,2.151,1,MM
1,1,1,3.25,2.094,2.067,1,MM
1,1,1,4.85,1.847,2.983,1,MM
1,1,1,4.45,1.138,1.892,1,MM
1,1,1,6,1.697,1.618,1,MM
1,2,1,4.7,2.782,1.53,0,MM
1,1,1,6,1.171,1.123,1,MM
1,2,2,6,1.472,1.496,1,MM
1,2,2,5.3,1.139,0.66,1,MM
1,2,2,1.9,2.062,1.421,1,MM
1,1,1,6,1.064,1.14,1,MM
1,1,1,6,0.967,1.416,1,MM
1,2,2,5.95,1.504,1.319,1,MM
1,2,1,2.75,3.137,1.039,0,MM
1,2,2,6,1.547,0.933,1,MM
1,2,2,6,3.588,1.117,1,MM
1,2,2,2.15,3.448,1.285,1,MM
1,1,2,4,2.235,0.955,0,MM
1,2,2,6,1.428,1.224,1,MM
