Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Contrast,Accuracy,Condition
1,1,1,6,0.88,4.724,0.79,1,MM
1,1,1,6,0.729,2.061,0.77,1,MM
1,1,1,1.35,2,3.312,0.75,1,MM
1,2,2,6,0.613,1.76,0.73,1,MM
1,1,1,6,0.647,1.259,0.71,1,MM
1,2,2,6,0.547,1.891,0.69,1,MM
1,1,1,6,1.23,2.476,0.67,1,MM
1,2,2,2.7,0.796,4.765,0.65,1,MM
1,1,1,3.45,1.665,1.642,0.63,1,MM
1,2,2,4.6,0.863,1.388,0.61,1,MM
1,2,2,6,0.413,1.942,0.59,1,MM
1,2,2,2.95,0.912,0.804,0.57,1,MM
1,1,1,5.8,0.629,1.625,0.55,1,MM
1,2,2,6,0.613,1.157,0.53,1,MM
1,1,1,2.6,1.882,1.64,0.51,1,MM
1,2,2,6,0.596,1.523,0.49,1,MM
1,2,2,6,0.764,1.541,0.47,1,MM
1,2,2,6,0.647,1.157,0.45,1,MM
1,2,1,2,1.834,2.86,0.47,0,MM
1,2,2,6,0.43,1.608,0.49,1,MM
1,2,2,6,0.478,0.973,0.47,1,MM
1,2,2,2.75,1.382,0.692,0.45,1,MM
1,1,2,2.4,1.03,1.422,0.47,0,MM
1,2,2,4.15,0.897,0.568,0.49,1,MM
1,2,2,6,0.547,1.759,0.47,1,MM
1,2,2,2.75,0.914,0.839,0.45,1,MM
1,1,1,4.3,1.097,1.045,0.43,1,MM
1,2,2,1,1.38,4.749,0.41,1,MM
1,1,2,1,1.03,1.506,0.43,0,MM
1,1,1,4.7,0.797,1.171,0.45,1,MM
1,1,1,2.7,1.029,2.009,0.43,1,MM
1,2,1,3.95,1.398,0.737,0.45,0,MM
1,2,2,1,1.948,1.775,0.47,1,MM
1,2,2,6,0.73,1.275,0.45,1,MM
1,1,1,3.5,0.797,0.705,0.43,1,MM
1,2,2,6,0.496,2.292,0.41,1,MM
1,2,2,2.4,0.881,0.94,0.39,1,MM
1,1,2,1,2,2.678,0.41,0,MM
1,2,2,4.45,0.647,0.62,0.43,1,MM
1,1,1,4.2,1.648,1.343,0.41,1,MM
1,2,1,4.4,0.78,2.193,0.43,0,MM
1,2,2,2.3,1.498,0.856,0.45,1,MM
1,2,2,4.4,0.779,1.823,0.43,1,MM
1,2,2,4.2,0.645,1.123,0.41,1,MM
1,2,2,4.15,1.265,6.388,0.39,1,MM
1,1,2,2.7,2,5.601,0.41,0,MM
1,1,2,4.6,2,4.029,0.43,0,MM
1,2,2,1,0.612,3.481,0.45,1,MM
1,1,1,4,1.03,0.571,0.43,1,MM
1,1,1,5.85,0.662,1.772,0.41,1,MM
1,2,2,1.05,1.415,1.287,0.39,1,MM
1,2,2,1.25,0.746,1.341,0.37,1,MM
1,1,2,4.9,1.314,0.907,0.39,0,MM
1,2,2,4,1.347,0.791,0.41,1,MM
1,2,2,3.5,2,0.79,0.39,1,MM
1,1,1,1.9,1.348,1.64,0.37,1,MM
1,2,1,2.4,2,1.22,0.39,0,MM
1,1,2,2.35,1.08,0.806,0.41,0,MM
1,1,2,1.3,2,6.17,0.43,0,MM
1,2,1,3.5,1.065,1.66,0.45,0,MM
1,2,2,4.4,1.197,0.621,0.47,1,MM
1,1,1,4.3,0.896,0.753,0.45,1,MM
1,1,2,1,0.813,1.203,0.47,0,MM
1,1,2,6,0.63,1.608,0.49,0,MM
1,1,1,4.6,0.73,1.373,0.51,1,MM
1,1,1,4.85,1.298,1.604,0.49,1,MM
1,2,2,2.3,0.663,1.342,0.47,1,MM
1,1,2,6,0.546,1.992,0.49,0,MM
1,2,2,1.8,2,1.256,0.51,1,MM
1,2,2,5.65,0.562,1.373,0.49,1,MM
1,1,2,3.4,0.912,0.69,0.51,0,MM
1,2,2,1.9,1.181,1.508,0.53,1,MM
1,1,1,4.05,1.463,0.912,0.51,1,MM
1,1,2,1.05,1.464,2.812,0.53,0,MM
1,1,1,5.6,1.046,0.822,0.55,1,MM
1,2,2,5.4,0.614,1.874,0.53,1,MM
1,1,1,5.2,0.879,0.755,0.51,1,MM
1,2,2,1,1.297,0.722,0.49,1,MM
1,1,1,1.05,1.732,2.029,0.47,1,MM
1,1,1,4.95,0.812,1.14,0.45,1,MM
1,1,1,1.25,1.431,0.904,0.43,1,MM
1,1,1,3.25,0.712,1.038,0.41,1,MM
1,2,2,4.35,0.78,0.708,0.39,1,MM
1,2,2,3.9,1.064,1.576,0.37,1,MM
1,2,1,1.05,0.78,1.338,0.39,0,MM
1,2,2,6,0.512,1.907,0.41,1,MM
1,2,1,5.8,0.612,1.557,0.43,0,MM
1,2,2,3.35,0.979,0.54,0.45,1,MM
1,1,2,2.1,0.663,2.092,0.47,0,MM
1,1,2,1.75,1.164,0.688,0.49,0,MM
1,2,1,4.45,0.562,0.688,0.51,0,MM
1,1,2,1.05,1.113,1.343,0.53,0,MM
1,2,2,5.4,0.73,1.19,0.55,1,MM
1,1,1,1,1.899,1.441,0.53,1,MM
1,1,1,5.95,0.612,1.673,0.51,1,MM
1,1,2,4.5,0.879,1.089,0.53,0,MM
1,1,1,4.65,0.897,1.023,0.55,1,MM
1,1,1,1.2,1.113,1.003,0.53,1,MM
1,2,2,1.45,1.532,1.642,0.51,1,MM
1,2,2,5.1,0.747,0.822,0.49,1,MM
1,1,2,1,1.097,1.589,0.51,0,MM
1,2,2,1.2,1.665,0.99,0.53,1,MM
1,2,2,4.75,0.897,0.754,0.51,1,MM
1,2,2,1.5,0.479,1.124,0.49,1,MM
1,1,2,2.3,1.464,1.224,0.51,0,MM
1,1,1,4.9,0.68,1.641,0.53,1,MM
1,2,1,1.5,1.297,0.971,0.55,0,MM
1,1,1,2.8,0.661,0.938,0.57,1,MM
1,1,2,4.8,0.663,1.857,0.59,0,MM
1,1,2,5.25,0.613,1.256,0.61,0,MM
1,1,2,6,0.58,1.006,0.63,0,MM
1,1,1,1.3,0.896,1.738,0.65,1,MM
1,2,2,6,0.461,0.956,0.63,1,MM
1,1,2,5.1,0.545,1.739,0.65,0,MM
1,2,2,6,0.596,1.188,0.67,1,MM
1,2,2,5.55,0.613,1.777,0.65,1,MM
1,1,1,5.35,1.046,2.177,0.63,1,MM
1,1,1,5.15,1.664,0.972,0.61,1,MM
1,2,1,1,1.265,1.939,0.63,0,MM
1,1,2,4,0.862,0.721,0.65,0,MM
1,1,2,3.95,0.596,2.661,0.67,0,MM
1,1,1,6,0.763,3.262,0.69,1,MM
