Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,age,female_male,trial,block,set_size,target_position,Accuracy,Condition
1,1,1,4,0.7853,0.561,21,1,1,1,6,4,1,FM
1,0,0,3,1.5119,0.7883,21,1,2,1,6,5,1,FM
1,1,1,2,0.8036,0.6548,21,1,3,1,7,1,1,FM
1,1,1,4,0.8042,0.6228,21,1,4,1,8,7,1,FM
1,1,1,2,0.9936,0.6334,21,1,5,1,9,3,1,FM
1,1,1,3,0.8141,2.2514,21,1,6,1,10,3,1,FM
1,0,1,2,1.2485,0.7903,21,1,7,1,11,11,0,FM
1,1,1,3,1.0943,1.7427,21,1,8,1,10,1,1,FM
1,0,0,3,1.1737,0.6633,21,1,9,1,10,1,1,FM
1,0,1,2,1.2493,0.9441,21,1,10,1,11,10,0,FM
1,1,0,3,1.4797,0.3136,21,1,11,1,10,2,0,FM
1,0,1,2,1.0886,0.3985,21,1,12,1,9,4,0,FM
1,1,1,2,0.721,0.8745,21,1,13,1,8,2,1,FM
1,1,1,2,1.3536,0.5929,21,1,14,1,8,4,1,FM
1,0,0,3,0.9308,1.1474,21,1,15,1,9,4,1,FM
1,0,0,3,1.0806,0.7469,21,1,16,1,10,8,1,FM
1,0,1,2,1.1633,1.1118,21,1,17,1,11,1,0,FM
1,0,0,2,1.1188,0.9848,21,1,18,1,10,9,1,FM
1,0,0,3,1.0555,0.7888,21,1,19,1,10,5,1,FM
1,0,0,3,0.878,0.561,21,1,20,1,11,3,1,FM
1,0,0,2,1.0791,1.1193,21,1,21,1,12,4,1,FM
1,1,1,3,0.7828,0.5926,21,1,22,1,12,5,1,FM
1,1,1,3,0.9308,0.3139,21,1,23,1,12,2,1,FM
1,1,0,2,1.8837,1.5162,21,1,24,1,12,1,0,FM
1,0,0,4,1.3333,1.2684,21,1,25,1,11,6,1,FM
1,1,1,2,1.3756,0.5814,21,1,26,1,11,9,1,FM
1,1,0,2,1.7334,0.6635,21,1,27,1,12,3,0,FM
1,1,0,2,1.4485,1.0261,21,1,28,1,11,4,0,FM
1,1,1,3,0.9842,1.4775,21,1,29,1,10,6,1,FM
1,1,1,2,1.0147,0.7588,21,1,30,1,10,10,1,FM
1,0,1,3,0.7839,0.4797,21,1,31,1,11,8,0,FM
1,1,1,4,0.878,0.7463,21,1,32,1,10,1,1,FM
1,0,0,3,1.0414,0.9021,21,1,33,1,10,6,1,FM
1,1,0,2,1.2693,1.0346,21,1,34,1,11,10,0,FM
1,1,1,2,1.9148,1.1098,21,1,35,1,10,7,1,FM
1,1,1,2,0.8036,0.7634,21,1,36,1,10,5,1,FM
1,1,0,3,1.8283,0.6381,21,1,37,1,11,3,0,FM
1,0,0,3,0.9201,0.9909,21,1,38,1,10,2,1,FM
1,1,0,3,1.0315,0.737,21,1,39,1,10,3,0,FM
1,1,1,3,0.8463,0.7178,21,1,40,1,9,7,1,FM
1,1,0,2,1.1102,1.2355,21,1,41,1,9,1,0,FM
1,1,1,2,2.072,0.9952,21,1,42,1,8,7,1,FM
1,1,1,3,0.6557,1.0777,21,1,43,1,8,5,1,FM
1,0,0,3,1.0783,0.9035,21,1,44,1,9,5,1,FM
1,0,1,3,1.3903,0.8313,21,1,45,1,10,8,0,FM
1,1,1,4,0.7197,0.9573,21,1,46,1,9,6,1,FM
1,0,0,3,1.2474,1.8964,21,1,47,1,9,8,1,FM
1,0,0,4,0.868,0.8301,21,1,48,1,10,10,1,FM
1,0,0,2,1.6391,0.7047,21,1,49,1,11,5,1,FM
1,0,0,3,1.6707,0.4751,21,1,50,1,12,8,1,FM
1,0,0,2,1.639,0.8732,21,1,51,1,12,4,1,FM
