Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Temporal_distance,Condition,Task
1,1,2,2,3.648492474,0.803503912,3,Incongruent,N
1,2,1,1,3.617397141,1.402889185,1,Incongruent,N
1,2,2,3,4.022680988,0.906599948,3,Incongruent,N
1,2,2,1,3.728923112,1.282014717,3,Congruent,N
1,2,2,2,4.373118567,1.340820774,3,Incongruent,N
1,1,1,4,2.769484276,0.637725723,3,Congruent,N
1,2,1,3,3.349666298,0.779204465,2,Incongruent,N
1,2,2,1,4.604613982,0.923019614,3,Congruent,N
1,2,1,2,4.234524743,1.17949509,2,Incongruent,N
1,1,1,4,3.291103112,1.021409606,1,Incongruent,N
1,1,1,4,2.881131682,0.730964134,3,Incongruent,N
1,2,2,3,3.130417017,1.69049938,3,Congruent,N
1,1,2,1,5.610374793,1.255223376,2,Congruent,N
1,2,2,4,3.697067984,0.612330893,3,Incongruent,N
1,1,1,3,3.272119348,1.052881144,2,Congruent,N
1,1,2,2,3.951936489,0.613155507,2,Incongruent,N
1,2,2,1,4.239847401,0.897685501,1,Incongruent,N
1,2,1,2,3.952890744,2.164756653,1,Incongruent,N
1,1,1,3,3.820783063,1.134814138,1,Congruent,N
1,1,1,3,2.689993124,0.607811105,2,Incongruent,N
1,2,2,4,2.481950799,1.00198974,3,Incongruent,N
1,1,2,3,3.649326934,0.702987154,1,Congruent,N
1,2,2,4,3.92315869,1.447108189,1,Incongruent,N
1,2,2,3,4.385462342,0.598966812,2,Congruent,N
1,1,1,3,4.153291236,1.21061709,1,Congruent,N
1,1,1,3,3.19993198,0.642734535,2,Congruent,N
1,2,2,3,2.712807856,1.389801206,1,Congruent,N
1,1,2,2,3.629022147,0.631237528,2,Congruent,N
1,1,1,2,3.825913722,0.984758179,2,Incongruent,N
1,1,1,3,4.110414588,1.324399468,1,Incongruent,N
1,1,1,2,3.491222579,0.84408682,1,Congruent,N
1,1,1,1,3.797441153,0.532754408,3,Congruent,N
1,2,1,NaN,4.224629375,NaN,1,Incongruent,N
1,1,1,2,3.885271163,0.778176774,2,Incongruent,N
1,2,2,1,4.765327154,0.595939945,2,Incongruent,N
1,2,2,1,3.661754401,0.882750141,3,Congruent,N
1,1,2,1,4.264846745,1.5612159,2,Incongruent,N
1,2,2,2,4.66250681,1.266610845,1,Congruent,N
1,1,1,3,2.748597746,0.855720852,1,Congruent,N
1,1,1,4,4.388498645,1.121055391,3,Congruent,N
1,2,2,2,4.153360979,0.584292374,2,Incongruent,N
1,1,1,2,3.231239415,0.679991089,1,Congruent,N
1,1,1,4,3.566738762,0.654328772,3,Incongruent,N
1,1,1,3,1.982605157,0.671991102,2,Congruent,N
1,1,1,4,2.848828966,1.840962723,3,Congruent,N
1,2,1,2,1.588060984,1.06158513,1,Congruent,N
1,2,2,4,3.564664509,0.658314407,3,Congruent,N
1,1,1,3,4.220982612,1.243474062,1,Congruent,N
1,2,2,2,3.065110868,0.874716103,1,Congruent,N
1,2,1,1,3.411609581,1.022232579,1,Congruent,N
1,2,2,2,2.60809172,1.094240256,1,Incongruent,N
1,1,1,3,3.858278797,0.82295947,3,Congruent,N
1,2,2,2,3.671059822,0.626366562,2,Incongruent,N
1,1,1,3,4.305983088,0.923842587,2,Congruent,N
1,2,2,3,3.370084316,0.682263086,2,Congruent,N
1,1,1,4,1.825155159,0.720682715,3,Incongruent,N
1,1,1,3,2.258923883,0.481420338,2,Congruent,N
1,2,2,4,2.301376736,0.508575986,1,Congruent,N
1,1,1,3,3.932609752,0.543558903,2,Congruent,N
1,1,2,1,3.4419123,0.60874936,3,Incongruent,N
1,1,1,4,1.341676568,0.647912783,3,Incongruent,N
1,2,2,3,3.39487689,1.328736691,3,Congruent,N
1,2,2,2,1.9406602,0.535179019,1,Incongruent,N
1,2,2,1,3.238871813,0.48602792,2,Congruent,N
1,2,1,1,4.168254903,0.530013899,2,Congruent,N
1,2,2,3,2.553999911,0.806504112,2,Congruent,N
1,1,1,4,3.019682839,0.732197363,2,Incongruent,N
1,1,1,4,2.869347086,0.594385076,3,Incongruent,N
1,1,2,3,2.451702233,0.933159084,2,Incongruent,N
1,1,1,4,2.689203382,0.677356427,3,Congruent,N
1,1,1,3,2.420258182,0.954717613,3,Congruent,N
1,2,2,2,3.940614662,0.525724265,3,Incongruent,N
1,2,1,2,2.655995231,1.226154706,1,Incongruent,N
1,2,1,2,3.284246918,1.115020939,1,Incongruent,N
1,2,2,3,2.456034123,0.81489097,3,Congruent,N
1,2,1,3,5.339473084,0.961732576,2,Incongruent,N
1,2,2,3,3.780972257,0.481639825,1,Congruent,N
1,1,1,3,3.179529962,1.113655608,3,Incongruent,N
1,2,2,4,1.838099548,0.707651352,3,Incongruent,N
1,1,2,2,3.371078776,1.029704977,1,Incongruent,N
1,1,1,2,2.916249163,1.43116401,1,Incongruent,N
1,1,1,3,2.513498645,0.605088238,1,Congruent,N
1,2,1,2,2.343672462,0.634557318,2,Incongruent,N
1,1,2,3,1.951525003,0.538964449,1,Incongruent,N
1,1,1,4,2.432380008,0.57153096,2,Incongruent,N
1,2,2,2,2.567477223,1.720921484,3,Incongruent,N
1,2,1,2,2.638044081,0.57331229,1,Incongruent,N
1,1,1,2,3.451591874,1.814417125,2,Congruent,N
1,2,2,3,2.658313176,1.536144761,2,Congruent,N
1,1,1,2,5.608920026,1.734007001,3,Congruent,N
1,1,1,4,1.502208817,0.579948587,2,Congruent,C
1,2,2,4,1.753943378,0.550056943,3,Incongruent,C
1,1,1,4,1.666414496,0.642122433,2,Congruent,C
1,2,2,4,2.120979084,1.074960287,1,Congruent,C
1,1,1,2,4.131290451,1.04366598,2,Congruent,C
1,2,2,4,2.105362289,0.638913003,1,Congruent,C
1,1,1,3,2.191323583,0.515691461,3,Incongruent,C
1,1,1,3,2.008576806,1.367247397,2,Incongruent,C
1,1,1,3,3.401140265,1.765250847,3,Incongruent,C
1,1,2,2,3.344536871,0.771359965,1,Incongruent,C
1,1,1,2,3.837760266,1.151223136,1,Incongruent,C
1,2,2,4,1.981193057,0.725937681,3,Congruent,C
1,1,2,2,3.078402333,0.566442147,1,Congruent,C
1,2,2,3,3.9108223,2.061445643,2,Incongruent,C
1,2,2,4,2.24945518,0.628821942,3,Congruent,C
1,2,2,2,3.464197392,0.827053002,2,Incongruent,C
1,2,2,2,3.835571962,1.185005235,2,Incongruent,C
1,1,1,3,2.218787744,0.655909488,2,Incongruent,C
1,2,2,2,3.649398729,0.940267585,1,Incongruent,C
1,2,2,3,2.177470068,0.467079439,1,Incongruent,C
1,1,1,4,1.999730872,0.598945068,3,Incongruent,C
1,1,1,3,2.5356623,1.232452131,3,Congruent,C
1,1,1,4,1.828166436,0.722954301,3,Congruent,C
1,2,2,3,2.716972362,2.246224416,3,Congruent,C
1,2,2,4,1.668720954,0.472892352,3,Congruent,C
1,1,1,4,2.043364031,0.626720613,3,Incongruent,C
1,1,1,4,2.255685734,1.223497479,1,Congruent,C
1,1,1,4,2.004790966,0.760206752,2,Incongruent,C
1,1,1,3,2.317444812,0.525126113,3,Incongruent,C
1,2,2,4,1.771350939,0.676690992,2,Congruent,C
1,1,1,3,1.758953831,1.014511566,3,Congruent,C
1,2,1,2,3.608764129,1.814839688,1,Incongruent,C
1,2,2,3,2.324880698,0.664900242,1,Incongruent,C
1,1,1,4,1.969933178,0.700679466,1,Congruent,C
1,2,2,2,3.427880323,0.730920647,3,Incongruent,C
1,2,1,1,3.243410472,1.585084578,1,Incongruent,C
1,1,1,3,1.895138634,0.844203333,2,Congruent,C
1,1,1,4,2.837098934,1.762808594,2,Congruent,C
1,2,2,3,2.856719415,1.163218604,2,Incongruent,C
1,2,2,3,3.08686714,0.451662438,1,Congruent,C
1,1,1,3,3.635553829,0.985274691,2,Incongruent,C
1,2,2,4,3.103782804,0.759741522,2,Incongruent,C
1,2,2,2,3.916213471,0.726092757,1,Congruent,C
1,2,1,2,3.381747886,1.781873999,1,Congruent,C
1,2,2,4,2.244971495,1.063586357,3,Congruent,C
1,1,1,2,1.853280241,0.619357343,1,Incongruent,C
1,1,1,4,2.039987216,0.714568674,3,Congruent,C
1,1,2,1,3.186096925,0.681926676,1,Incongruent,C
1,1,2,2,1.721309996,0.851332757,1,Incongruent,C
1,1,2,1,2.594720665,2.09074939,1,Incongruent,C
1,1,1,4,1.901860264,0.69627578,3,Congruent,C
1,1,1,4,1.472685583,0.504629736,3,Congruent,C
1,1,2,4,2.183781852,0.79310434,1,Congruent,C
1,2,1,2,2.382721013,0.756375374,2,Incongruent,C
1,1,1,1,3.45310818,0.727336653,1,Congruent,C
1,1,1,3,4.151209188,0.544876644,3,Congruent,C
1,1,1,4,1.509334139,0.88016553,3,Congruent,C
1,1,1,3,3.906375128,1.013775977,2,Incongruent,C
1,1,1,3,2.297842793,0.857887002,3,Incongruent,C
1,2,2,4,2.295827617,0.555401755,3,Congruent,C
1,2,2,2,3.222854609,1.147705194,1,Congruent,C
1,2,2,2,2.916739419,1.016391768,2,Incongruent,C
1,2,2,3,4.026270726,0.487211098,1,Congruent,C
1,1,1,2,3.920709874,0.777247135,2,Incongruent,C
1,2,2,3,2.559069442,2.137468903,1,Incongruent,C
1,1,1,3,2.385745418,1.993419088,2,Congruent,C
1,1,1,4,2.412023939,0.625890665,2,Congruent,C
1,1,1,4,2.326732592,0.764371258,3,Incongruent,C
1,1,2,2,3.197634547,0.9767705,1,Congruent,C
1,2,2,4,1.993862164,0.612039611,2,Congruent,C
1,1,1,2,2.959715758,0.633237525,2,Congruent,C
1,1,1,3,2.109161667,0.504485326,3,Incongruent,C
1,2,1,2,2.70230654,0.97547204,2,Incongruent,C
1,2,2,4,2.033276663,0.745321854,3,Incongruent,C
1,2,2,2,3.623468926,0.67063972,1,Congruent,C
1,2,2,4,1.991027707,0.657747433,2,Congruent,C
1,1,1,4,2.29438844,0.631412707,2,Congruent,C
1,2,2,3,2.193760092,1.994252317,3,Incongruent,C
1,2,1,2,2.17986473,0.694290553,1,Congruent,C
1,2,2,3,2.867538679,0.576854028,3,Incongruent,C
1,1,1,4,1.949898749,0.638650849,3,Incongruent,C
1,2,2,3,1.459401503,0.525928983,2,Congruent,C
1,2,1,2,3.987769456,0.573235982,3,Congruent,C
1,1,1,2,1.899957087,0.468127642,2,Incongruent,C
1,1,1,3,2.407271947,0.467397387,2,Congruent,C
1,2,2,3,2.86957847,0.57706613,3,Incongruent,C
1,2,2,3,2.217042516,0.452478437,2,Congruent,C
1,2,1,2,2.749129027,0.708134633,1,Incongruent,C
1,1,1,4,1.937424923,0.675416738,1,Incongruent,C
1,2,2,4,1.48785602,0.794382696,1,Incongruent,C
2,2,2,4,4.749047898,1.575220687,1,Incongruent,C
2,2,2,4,6.265541635,0.95264166,1,Incongruent,C
2,2,2,4,2.394240659,0.57263197,3,Incongruent,C
2,1,1,4,6.092635449,0.920214597,3,Congruent,C
