Subject,memory_scores,memory_rates,memory_dprime,memory_metad,memory_criterion,memory_mratio,memory_mdiff,perception_scores,perception_rates,perception_dprime,perception_metad,perception_criterion,perception_mratio,perception_mdiff
503,"(46, 54, 14, 86)","(0.46, 0.14)",0.9650055380562086,1.2185051974199266,0.5903765306632128,1.2626924399567045,0.253499659363718,"(66, 24, 27, 63)","(0.7333333333333333, 0.3)",1.13323092199046,1.8036507338530694,-0.049262605251023384,1.5916003515726986,0.6704198118626095
504,"(70, 30, 19, 81)","(0.7, 0.19)",1.3853549482681382,2.213078650581468,0.17674789117159406,1.597481319389002,0.8277237023133299,"(69, 21, 33, 57)","(0.7666666666666667, 0.36666666666666664)",1.0551779909299839,0.8824446316140939,-0.1936092318969244,0.8362993155650916,-0.17273335931588996
507,"(74, 26, 43, 57)","(0.74, 0.43)",0.8106466793938991,0.8451472029046082,-0.23348562030602782,1.0425592608810836,0.03450052351070909,"(48, 42, 13, 77)","(0.5333333333333333, 0.14444444444444443)",1.126259502163128,0.9518943152472961,0.4884552548121483,0.845182050334811,-0.17436518691583203
508,"(44, 56, 21, 79)","(0.44, 0.21)",0.6470348753228651,0.9071544710775266,0.4786952312575088,1.4020178906505836,0.2601195957546615,"(43, 47, 5, 85)","(0.4777777777777778, 0.05555555555555555)",1.4959755309577112,1.4914502949329553,0.8244752528830152,0.9969750601322611,-0.004525236024755852
509,"(92, 8, 37, 63)","(0.92, 0.37)",1.7060786147086626,0.8659349008018257,-0.5366091069364081,0.5075586161952428,-0.840143713906837,"(68, 22, 29, 61)","(0.7555555555555555, 0.32222222222222224)",1.1392137002929745,-0.21695595546391816,-0.11529172119792747,-0.19044359755164728,-1.3561696557568927
510,"(65, 35, 19, 81)","(0.65, 0.19)",1.2479551920158458,0.9768779301215947,0.24628791432183053,0.7827828566053122,-0.2710772618942511,"(56, 34, 15, 75)","(0.6222222222222222, 0.16666666666666666)",1.2606537829538933,1.1306205012376676,0.3280495932287799,0.8968525034593249,-0.13003328171622575
511,"(84, 16, 33, 67)","(0.84, 0.33)",1.4159864472109749,0.897529678192911,-0.2772723587682596,0.6338547095282923,-0.5184567690180639,"(45, 45, 6, 84)","(0.5, 0.06666666666666667)",1.465233792685522,1.2446010236235656,0.7505429730220124,0.8494214574060742,-0.22063276906195628
512,"(81, 19, 31, 69)","(0.81, 0.31)",1.3571663284274387,0.9304118670583763,-0.1910229738518878,0.6855547824683016,-0.42675446136906237,"(56, 34, 22, 68)","(0.6222222222222222, 0.24444444444444444)",0.9909508870893808,1.4862037589286698,0.190377378484936,1.4997753958260684,0.495252871839289
516,"(87, 13, 23, 77)","(0.87, 0.23)",1.839311246154406,1.3119746596645032,-0.19377213992679349,0.7132967095196926,-0.5273365864899029,"(51, 39, 12, 78)","(0.5666666666666667, 0.13333333333333333)",1.2582772205505295,1.2277229859169176,0.47143880592433995,0.9757174062006435,-0.030554234633611843
517,"(59, 41, 20, 80)","(0.59, 0.2)",1.0563118423650097,0.47978359459385533,0.3070381284658824,0.454206395641322,-0.5765282477711544,"(58, 32, 18, 72)","(0.6444444444444445, 0.2)",1.1960097494189168,1.6405506781206345,0.23562849438307723,1.3716867098430414,0.4445409287017177
518,"(64, 36, 18, 82)","(0.64, 0.18)",1.2581128166870552,1.3590906349650451,0.2784531472958101,1.0802613382032713,0.1009778182779899,"(63, 27, 27, 63)","(0.7, 0.3)",1.0361796347889722,0.5379328936789952,1.1102230246251565e-16,0.519150228028319,-0.498246741109977
519,"(71, 29, 48, 52)","(0.71, 0.48)",0.5969773162923182,0.8000331306024602,-0.25161556804546953,1.3401399161550602,0.20305581431014197,"(64, 26, 26, 64)","(0.7111111111111111, 0.28888888888888886)",1.0997136412478854,1.537853452405345,-0.0,1.3984126364571474,0.4381398111574597
520,"(92, 8, 28, 72)","(0.92, 0.28)",1.9540151844643985,2.437658969597701,-0.41111502651920834,1.2475128079753746,0.48364378513330264,"(59, 31, 20, 70)","(0.6555555555555556, 0.2222222222222222)",1.1502246207885904,1.7713685743034417,0.1821731446258195,1.540019699012352,0.6211439535148513
521,"(62, 38, 23, 77)","(0.62, 0.23)",1.0324332572064732,0.5830352042607486,0.21668303054290816,0.5647195111074857,-0.44939805294572455,"(61, 29, 20, 70)","(0.6777777777777778, 0.2222222222222222)",1.2105526284121253,0.4341905593998032,0.15160798978411433,0.3586713614998535,-0.7763620690123221
522,"(91, 9, 32, 68)","(0.91, 0.32)",1.7788855821823475,-0.5165710126859024,-0.4365281172878541,-0.2903902408676392,-2.29545659486825,"(59, 31, 21, 69)","(0.6555555555555556, 0.23333333333333334)",1.1140980647448653,0.4492599515044103,0.16377495317344806,0.4032499164310938,-0.664838113240455
523,"(77, 23, 45, 55)","(0.77, 0.45)",0.8544821157732665,0.5974673810712149,-0.30659275116506984,0.6992157823344667,-0.2570147347020516,"(52, 38, 19, 71)","(0.5777777777777777, 0.2111111111111111)",0.9856667501673,0.45905330634745306,0.30318007720706297,0.4657287123356212,-0.5266134438198469
524,"(78, 22, 19, 81)","(0.78, 0.19)",1.629505155024733,0.8114033306549309,0.05285154043127199,0.4979446233434071,-0.8181018243698022,"(57, 33, 20, 70)","(0.6333333333333333, 0.2222222222222222)",1.0913045469737082,1.1123977414532784,0.21200742334929584,1.0193284216931595,0.021093194479570254
527,"(61, 39, 21, 79)","(0.61, 0.21)",1.0729796728592422,0.7993289208000555,0.26355110628539313,0.7449618487832385,-0.27365075205918676,"(63, 27, 25, 65)","(0.7, 0.2777777777777778)",1.1002785522652134,1.2445458567871408,0.03252764257086882,1.1311188918705315,0.14426730452192738
528,"(65, 35, 28, 72)","(0.65, 0.28)",0.9576968062114254,0.7770738215992683,0.09876052043182423,0.811398572658201,-0.1806229846121571,"(49, 41, 14, 76)","(0.5444444444444444, 0.15555555555555556)",1.1075767518978998,0.7622639132907016,0.4506280914688734,0.6882267183601645,-0.3453128386071982
530,"(82, 18, 43, 57)","(0.82, 0.43)",1.0779665995579164,1.1975284224948346,-0.36949546153097623,1.1109142184794516,0.1195618229369182,"(73, 17, 37, 53)","(0.8111111111111111, 0.4111111111111111)",1.0916011250835413,1.261337548211315,-0.3286552451322985,1.1554930818844507,0.1697364231277736
531,"(51, 49, 12, 88)","(0.51, 0.12)",1.1812031107911254,1.07383364381656,0.5749589419036897,0.9091016049706699,-0.10736946697456529,"(60, 30, 21, 69)","(0.6666666666666666, 0.23333333333333334)",1.1440683666103915,1.7249880765542955,0.1485929957930934,1.507766604599893,0.5809197099439041
532,"(68, 32, 21, 79)","(0.68, 0.21)",1.2592191190708708,0.915390985424323,0.16936122395186598,0.7269513078071389,-0.34382813364654785,"(58, 32, 19, 71)","(0.6444444444444445, 0.2111111111111111)",1.1577449645439444,1.764271862517178,0.2161038216262748,1.523886448698272,0.6065268979732337
533,"(66, 34, 22, 78)","(0.66, 0.22)",1.1710074336943448,1.04880333001739,0.17986504237363993,0.8956419061393829,-0.12220410367695478,"(48, 42, 11, 79)","(0.5333333333333333, 0.12222222222222222)",1.2264323504116608,1.6720960176479818,0.5401489241230679,1.3633821849910686,0.445663667236321
501,,,,,,,,"(55, 35, 15, 75)","(0.6111111111111112, 0.16666666666666666)",1.2318959272986585,1.5255884060463807,0.34260270951959637,1.2384068915559618,0.2936924787477222
505,,,,,,,,"(70, 20, 31, 59)","(0.7777777777777778, 0.34444444444444444)",1.1502246207885904,0.742853577803581,-0.1821731446258195,0.6458334871099202,-0.4073710429850095
