Subject,N_low_dprime,N_low_criterion,N_low_metad,N_low_mratio,N_low_log_mratio,C_high_dprime,C_high_criterion,C_high_metad,C_high_mratio,C_high_log_mratio,C_low_dprime,C_low_criterion,C_low_metad,C_low_mratio,C_low_log_mratio,N_high_dprime,N_high_criterion,N_high_metad,N_high_mratio,N_high_log_mratio
1,0.869,0.083,1.557,2.065,0.564,2.283,0.128,2.151,0.979,-0.124,1.82,0.083,4.266,2.469,0.84,2.281,0.142,2.264,1.033,-0.06
2,0.778,-0.131,1.464,2.189,0.599,3.696,-0.446,1.966,0.569,-0.736,1.868,-0.469,3.321,1.967,0.575,1.617,-0.219,2.118,1.394,0.243
3,-0.567,0.05,-0.424,0.869,-0.53,2.012,0.188,0.86,0.44,-1.014,1.903,-0.037,2.26,1.244,0.119,1.134,-0.074,1.146,1.107,-0.112
4,0.332,-0.665,0.475,1.59,0.065,-0.039,-0.011,-0.051,1.064,-0.379,0.254,0.065,0.312,1.281,-0.19,1.391,-0.018,1.027,0.79,-0.42
5,-0.32,0.124,-0.133,0.794,-0.664,1.977,-0.049,4.488,2.339,0.808,2.063,0.361,1.828,0.931,-0.159,1.746,0.089,1.595,0.964,-0.17
7,0.012,-0.106,0.031,1.174,-0.301,1.426,0.012,0.808,0.599,-0.682,1.111,-0.151,1.712,1.731,0.414,1.638,-0.016,1.184,0.762,-0.43
8,0.749,0.045,1.159,1.791,0.316,,,,,,,,,,,1.326,-0.227,0.722,0.593,-0.778
9,1.448,-0.223,1.724,1.278,0.121,2.013,-0.237,1.199,0.621,-0.623,0.724,0.243,1.341,2.192,0.541,1.488,0.109,0.974,0.698,-0.57
10,0.255,0.108,0.581,2.304,0.308,1.984,0.101,1.77,0.932,-0.196,1.533,0.233,1.232,0.862,-0.36,2.002,0.293,1.322,0.691,-0.517
11,-0.625,-0.049,-0.198,0.572,-1.056,1.577,0.013,2.079,1.403,0.231,2.235,0.004,2.487,1.159,0.062,1.503,0.215,0.892,0.632,-0.677
12,0.392,0.038,0.242,0.857,-0.571,1.65,0.01,1.915,1.243,0.104,0.639,-0.222,1.264,2.397,0.599,1.254,-0.581,1.159,1.037,-0.134
13,0.455,0.18,0.249,0.812,-0.641,1.109,-0.002,0.846,0.846,-0.413,1.836,-0.212,1.97,1.132,0.003,0.84,0.103,1.173,1.622,0.267
14,0.845,0.226,0.517,0.708,-0.702,1.362,0.078,2.681,2.133,0.654,0.916,0.063,0.484,0.599,-0.836,1.149,0.189,0.766,0.733,-0.575
15,-0.159,-0.082,-0.072,0.987,-0.444,0.822,0.193,0.369,0.559,-0.971,1.387,0.002,0.729,0.567,-0.803,1.471,0.231,0.579,0.419,-1.121
17,1.246,-0.112,0.724,0.621,-0.753,1.479,0.08,0.824,0.591,-0.729,0.768,-0.115,0.897,1.378,0.031,1.176,-0.005,1.209,1.12,-0.061
18,0.031,-0.103,0.181,1.599,-0.137,1.927,-0.116,1.957,1.07,-0.035,1.384,0.075,1.051,0.804,-0.431,1.192,-0.042,1.927,1.754,0.335
19,-0.298,-0.147,-0.216,0.936,-0.448,1.1,-0.049,1.856,1.86,0.508,1.959,0.36,3.598,1.937,0.612,2.023,0.234,1.052,0.543,-0.782
20,0.31,0.146,0.583,2.004,0.255,1.775,0.026,3.205,1.922,0.596,0.706,0.022,0.851,1.399,0.05,1.399,0.176,1.38,1.055,-0.077
21,-0.882,-0.038,-0.527,0.677,-0.709,0.946,-0.424,0.694,0.818,-0.431,-0.094,0.317,-0.01,1.049,-0.393,1.104,-0.038,0.779,0.771,-0.517
22,0.631,0.181,1.492,2.844,0.84,1.406,-0.034,1.822,1.396,0.217,2.242,-0.104,1.729,0.8,-0.354,0.995,0.068,1.392,1.581,0.267
24,0.4,-0.372,0.183,0.719,-0.77,1.846,-0.279,3.031,1.727,0.487,3.658,-0.396,9.014,2.5,0.879,1.496,0.003,1.109,0.788,-0.409
26,1.194,0.164,1.725,1.581,0.318,1.732,0.281,2.191,1.337,0.173,-0.195,-0.033,-0.124,0.98,-0.435,1.33,0.063,2.213,1.811,0.496
27,-0.117,-0.01,-0.043,1.098,-0.398,1.039,0.233,1.773,1.936,0.507,0.931,0.102,0.726,0.885,-0.42,0.941,0.137,2.47,3.119,0.994
16,,,,,,0.797,0.056,0.553,0.765,-0.555,0.996,0.082,1.304,1.44,0.12,,,,,
