,Subject,memory_dprime,memory_criterion,memory_metad,memory_mratio,memory_log_mratio,visual_dprime,visual_criterion,visual_metad,visual_mratio,visual_log_mratio,motor_dprime,motor_criterion,motor_metad,motor_mratio,motor_log_mratio,visuomotor_dprime,visuomotor_criterion,visuomotor_metad,visuomotor_mratio,visuomotor_log_mratio,DGI_memory_visual,DGI_memory_visuomotor,DGI_memory_motor,DGI_visual_visuomotor,DGI_visual_motor,DGI_visuomotor_motor
0,1,1.368,-0.119,2.09,1.565,0.425,1.021,-0.011,1.667,1.686,0.492,,,,,,,,,,,0.067,,,,,
1,2,1.027,0.033,1.411,1.426,0.314,1.131,-0.258,0.33,0.3,-1.373,1.276,-0.136,0.545,0.434,-0.99,1.157,-0.023,0.913,0.808,-0.286,1.687,0.6,1.304,1.087,0.383,0.704
2,3,1.8,0.22,2.172,1.222,0.182,1.13,-0.2,1.043,0.951,-0.11,0.883,-0.115,0.409,0.48,-0.9,0.92,-0.296,0.786,0.891,-0.203,0.292,0.385,1.082,0.09300000000000001,0.79,0.6970000000000001
3,4,1.867,0.003,1.743,0.949,-0.083,1.289,0.184,0.981,0.775,-0.302,1.219,-0.014,0.866,0.726,-0.405,1.277,-0.002,1.665,1.336,0.257,0.21899999999999997,0.34,0.322,0.5589999999999999,0.10300000000000004,0.662
4,5,1.082,0.08,1.307,1.242,0.179,1.395,-0.608,1.666,1.235,0.176,1.238,-0.142,0.886,0.736,-0.387,1.303,-0.176,0.65,0.512,-0.777,0.0030000000000000027,0.956,0.5660000000000001,0.9530000000000001,0.563,0.39
5,6,1.071,0.36,1.591,1.538,0.387,1.139,-0.245,1.193,1.078,0.02,1.229,-0.061,0.853,0.711,-0.422,1.085,0.116,1.175,1.115,0.055,0.367,0.332,0.8089999999999999,0.035,0.442,0.477
6,7,0.942,0.001,1.531,1.697,0.489,1.193,0.104,1.212,1.043,-0.011,0.984,-0.167,0.449,0.468,-0.883,1.268,-0.363,0.525,0.423,-0.98,0.5,1.4689999999999999,1.3719999999999999,0.969,0.872,0.09699999999999998
7,8,1.593,-0.07,1.85,1.181,0.142,1.209,0.128,1.364,1.155,0.07,1.136,0.071,0.659,0.594,-0.629,0.993,0.078,0.154,0.162,-2.132,0.07199999999999998,2.274,0.771,2.202,0.6990000000000001,1.5030000000000001
8,9,1.553,0.04,1.795,1.176,0.135,1.286,-0.368,0.979,0.782,-0.304,1.028,-0.2,0.49,0.489,-0.868,1.004,-0.046,0.534,0.547,-0.805,0.439,0.9400000000000001,1.0030000000000001,0.5010000000000001,0.5640000000000001,0.06299999999999994
9,10,1.144,0.185,1.273,1.148,0.09,1.201,-0.341,0.984,0.84,-0.224,1.218,-0.148,0.288,0.242,-1.639,1.251,-0.229,0.592,0.482,-0.852,0.314,0.942,1.729,0.628,1.415,0.787
10,11,0.742,-0.216,1.647,2.354,0.813,1.208,0.325,0.59,0.498,-0.82,1.231,-0.088,1.2,0.993,-0.049,1.298,-0.03,1.139,0.894,-0.155,1.633,0.968,0.862,0.6649999999999999,0.7709999999999999,0.106
11,12,1.521,0.104,1.586,1.061,0.031,1.162,-0.218,0.811,0.715,-0.405,1.114,0.068,0.868,0.8,-0.294,1.1,0.047,0.836,0.779,-0.361,0.43600000000000005,0.392,0.32499999999999996,0.04400000000000004,0.11100000000000004,0.067
