,Subject,VP_dprime,VP_criterion,VP_metad,VP_mratio,VP_log_mratio,SM_dprime,SM_criterion,SM_metad,SM_mratio,SM_log_mratio,EM_dprime,EM_criterion,EM_metad,EM_mratio,EM_log_mratio,EF_dprime,EF_criterion,EF_metad,EF_mratio,EF_log_mratio,DGI_VP_EF,DGI_VP_SM,DGI_VP_EM,DGI_EF_SM,DGI_EF_EM,DGI_SM_EM
0,1,1.317,-0.074,0.809,0.673,-0.637,1.275,0.119,1.769,1.543,0.303,1.625,0.058,3.015,2.001,0.622,2.396,0.1,2.681,1.173,0.09,0.727,0.94,1.259,0.213,0.532,0.319
1,2,0.816,-0.41,0.497,0.726,-0.646,3.367,-0.136,1.039,0.319,-1.343,2.922,0.051,1.947,0.69,-0.489,9.434,1.884,6.643,0.715,-0.348,0.29800000000000004,0.697,0.15700000000000003,0.995,0.14100000000000001,0.854
2,3,1.675,-0.058,1.055,0.67,-0.6,0.872,-0.29,1.265,1.784,0.348,1.381,-0.273,3.12,2.475,0.836,2.155,-0.02,2.65,1.318,0.173,0.7729999999999999,0.948,1.436,0.175,0.663,0.488
3,4,1.518,-0.019,1.208,0.863,-0.317,0.584,0.046,0.987,2.03,0.422,2.81,-0.381,4.753,1.778,0.522,2.681,0.179,2.48,0.967,-0.128,0.189,0.739,0.839,0.55,0.65,0.10000000000000003
4,5,1.445,-0.112,1.131,0.856,-0.361,1.519,0.032,1.36,0.954,-0.2,3.22,-0.234,9.18,3.027,1.047,15.727,-0.451,7.851,0.651,-0.576,0.21499999999999997,0.16099999999999998,1.408,0.37599999999999995,1.6229999999999998,1.2469999999999999
5,6,0.311,0.494,0.174,0.858,-0.575,1.217,0.165,2.137,1.963,0.564,0.833,-0.161,0.525,0.721,-0.62,2.11,0.26,2.402,1.196,0.1,0.6749999999999999,1.1389999999999998,0.04500000000000004,0.46399999999999997,0.72,1.184
6,7,0.822,0.12,0.419,0.655,-0.807,0.632,-0.118,0.785,1.512,0.084,2.992,-0.116,4.006,1.397,0.284,13.812,0.795,8.782,0.648,-0.45,0.35700000000000004,0.891,1.091,0.534,0.734,0.19999999999999996
7,8,0.917,-0.017,1.38,1.742,0.385,0.878,0.011,0.604,0.818,-0.503,1.833,0.156,2.266,1.335,0.195,2.356,0.039,2.9,1.289,0.192,0.193,0.888,0.19,0.6950000000000001,0.0030000000000000027,0.698
8,9,1.333,-0.28,0.643,0.55,-0.856,2.395,0.037,3.164,1.384,0.27,3.374,0.034,2.046,0.626,-0.617,2.717,0.14,3.233,1.244,0.159,1.015,1.126,0.239,0.11100000000000002,0.776,0.887
9,10,1.089,0.52,0.336,0.387,-1.32,1.293,-0.043,2.069,1.794,0.473,1.079,-0.112,1.338,1.419,0.177,2.598,-0.096,2.867,1.154,0.067,1.387,1.7930000000000001,1.497,0.40599999999999997,0.10999999999999999,0.296
10,11,1.082,-0.101,0.564,0.602,-0.812,0.767,0.174,0.758,1.18,-0.144,1.218,-0.405,0.721,0.671,-0.661,7.896,2.204,5.047,0.712,-0.478,0.3340000000000001,0.668,0.15100000000000002,0.33399999999999996,0.18300000000000005,0.517
11,12,1.175,-0.505,0.717,0.709,-0.629,1.177,-0.009,2.315,2.215,0.69,0.876,-0.002,1.272,1.719,0.308,4.258,-0.707,4.148,1.021,-0.029,0.6,1.319,0.937,0.719,0.337,0.38199999999999995
12,13,0.557,0.245,0.477,1.138,-0.304,2.441,-0.155,2.995,1.282,0.187,1.718,-0.068,2.25,1.402,0.249,2.103,-0.111,1.524,0.762,-0.443,0.139,0.491,0.5529999999999999,0.63,0.692,0.062
13,14,0.776,-0.042,0.389,0.629,-0.816,1.342,0.024,1.088,0.885,-0.334,0.862,0.185,1.353,1.876,0.413,5.723,-0.764,9.059,1.624,0.466,1.282,0.48199999999999993,1.2289999999999999,0.8,0.05300000000000005,0.747
14,15,1.363,0.107,1.525,1.212,-0.008,1.071,0.11,0.87,0.914,-0.371,0.872,-0.016,1.184,1.56,0.213,2.318,0.069,10.277,4.593,1.502,1.51,0.363,0.221,1.873,1.289,0.584
15,16,1.326,0.236,0.458,0.383,-1.259,1.355,0.066,1.084,0.878,-0.335,4.134,-0.077,2.163,0.54,-0.729,2.449,0.236,2.191,0.935,-0.177,1.0819999999999999,0.9239999999999999,0.5299999999999999,0.15800000000000003,0.552,0.39399999999999996
16,17,0.708,0.044,0.849,1.456,0.038,1.866,-0.012,1.405,0.796,-0.412,1.692,0.004,1.477,0.936,-0.211,3.013,-0.438,4.661,1.675,0.164,0.126,0.44999999999999996,0.249,0.576,0.375,0.20099999999999998
17,18,0.791,0.271,0.681,1.01,-0.284,0.447,0.1,0.488,1.279,-0.095,0.532,-0.146,0.369,0.942,-0.479,1.888,-0.0,2.094,1.175,0.044,0.32799999999999996,0.18899999999999997,0.195,0.139,0.523,0.384
18,19,1.087,-0.027,0.531,0.555,-0.892,0.754,-0.036,1.068,1.676,0.26,7.106,-1.893,7.105,1.079,0.003,2.286,0.212,3.646,1.694,0.46,1.352,1.1520000000000001,0.895,0.2,0.457,0.257
19,20,0.635,0.036,0.587,1.129,-0.247,2.602,0.048,1.972,0.792,-0.349,2.99,-0.083,2.666,0.924,-0.153,4.327,-0.226,4.334,1.044,-0.018,0.229,0.10199999999999998,0.094,0.33099999999999996,0.135,0.19599999999999998
20,21,1.046,-0.548,0.946,1.052,-0.206,1.21,-0.13,1.456,1.334,0.138,1.073,0.113,0.682,0.713,-0.583,2.257,-0.594,5.187,2.359,0.813,1.019,0.344,0.377,0.6749999999999999,1.396,0.721
21,22,0.877,0.015,0.63,0.839,-0.48,0.825,0.049,1.46,2.042,0.54,3.765,0.216,4.657,1.256,0.117,4.254,-1.467,7.989,2.076,0.659,1.139,1.02,0.597,0.119,0.542,0.42300000000000004
