,Subject,memory_dprime,memory_criterion,memory_metad,memory_mratio,memory_log_mratio,perception_dprime,perception_criterion,perception_metad,perception_mratio,perception_log_mratio,DGI_memory_perception
0,1,1.729,0.054,1.734,1.016,-0.006,1.205,-0.336,0.947,0.799,-0.258,0.252
1,2,1.547,-0.243,1.972,1.296,0.237,1.116,-0.277,1.346,1.229,0.181,0.055999999999999994
2,5,2.35,-0.129,1.654,0.71,-0.378,1.142,-0.082,1.025,0.913,-0.125,0.253
3,15,2.109,0.097,1.843,0.89,-0.148,1.458,-0.489,1.491,1.037,0.018,0.16599999999999998
4,22,0.968,0.118,1.287,1.373,0.279,1.545,-0.742,1.292,0.849,-0.183,0.462
5,28,1.229,0.087,1.501,1.249,0.195,1.044,0.198,0.273,0.267,-1.528,1.723
6,29,1.463,0.485,1.868,1.301,0.242,1.387,-0.563,1.018,0.745,-0.322,0.5640000000000001
7,30,2.1,0.12,1.674,0.806,-0.244,1.371,-0.357,2.125,1.573,0.439,0.683
8,31,0.783,0.017,0.506,0.677,-0.523,1.105,-0.166,0.945,0.869,-0.174,0.34900000000000003
9,39,1.292,0.261,1.7,1.345,0.272,1.149,-0.287,1.189,1.054,0.027,0.24500000000000002
10,42,1.81,0.206,2.151,1.204,0.168,1.106,-0.078,1.534,1.407,0.325,0.157
11,43,2.011,0.033,2.548,1.281,0.234,1.658,-0.791,0.971,0.594,-0.552,0.786
12,53,0.91,0.147,0.654,0.748,-0.398,1.086,0.021,0.906,0.849,-0.203,0.195
13,55,1.642,0.107,1.711,1.058,0.032,1.102,0.015,1.136,1.055,0.018,0.014000000000000002
14,56,1.739,0.276,1.777,1.038,0.014,1.238,0.069,1.419,1.165,0.13,0.116
15,81,1.375,0.13,1.356,1.005,-0.036,1.348,-0.715,1.386,1.047,0.023,0.059
16,82,1.912,0.039,1.289,0.682,-0.425,1.315,-0.317,1.64,1.267,0.219,0.644
17,83,1.503,0.2,1.395,0.943,-0.09,1.399,-0.194,0.867,0.627,-0.513,0.42300000000000004
18,85,1.075,0.121,1.47,1.405,0.308,1.03,-0.024,0.969,0.961,-0.079,0.387
19,86,1.105,0.103,1.234,1.153,0.094,1.135,-0.014,1.234,1.108,0.073,0.021000000000000005
20,87,2.332,0.288,2.43,1.052,0.035,1.209,0.236,1.264,1.062,0.037,0.001999999999999995
21,90,1.049,0.178,1.348,1.322,0.245,1.165,0.01,1.223,1.066,0.039,0.206
22,91,1.271,-0.117,2.337,1.879,0.612,1.351,0.01,1.699,1.275,0.225,0.387
23,92,1.426,-0.194,1.166,0.832,-0.222,1.247,-0.402,0.823,0.67,-0.441,0.219
24,94,1.113,0.042,1.273,1.175,0.123,1.528,-0.749,1.244,0.826,-0.211,0.33399999999999996
25,95,1.531,0.255,1.767,1.174,0.138,1.356,-0.502,1.399,1.048,0.027,0.11100000000000002
26,97,1.169,0.056,1.165,1.021,-0.021,1.131,0.392,0.464,0.417,-0.985,0.964
