,Subject,FM_dprime,FM_criterion,FM_metad,FM_mratio,FM_log_mratio,IM_dprime,IM_criterion,IM_metad,IM_mratio,IM_log_mratio,WM_dprime,WM_criterion,WM_metad,WM_mratio,WM_log_mratio,DGI_FM_IM,DGI_FM_WM,DGI_IM_WM
0,1,1.628,0.036,1.926,1.21,0.154,2.942,0.097,2.911,1.002,-0.031,0.946,0.37,0.416,0.459,-0.992,0.185,1.146,0.961
1,2,1.047,-0.401,1.117,1.12,0.018,2.864,-0.183,3.813,1.349,0.282,1.567,-0.079,0.981,0.639,-0.558,0.26399999999999996,0.5760000000000001,0.8400000000000001
2,3,1.063,-0.179,1.921,1.882,0.596,2.168,0.349,1.399,0.656,-0.49,0.87,0.357,0.329,0.398,-1.184,1.0859999999999999,1.7799999999999998,0.694
3,4,1.811,0.019,1.915,1.08,0.038,1.85,0.043,1.339,0.738,-0.362,1.241,0.501,0.841,0.711,-0.449,0.39999999999999997,0.487,0.08700000000000002
4,5,2.028,-0.125,2.802,1.406,0.308,3.861,0.398,9.738,2.552,0.93,1.96,0.133,1.487,0.77,-0.39,0.6220000000000001,0.698,1.32
5,6,1.54,-0.503,1.445,0.965,-0.091,2.461,-0.54,1.761,0.731,-0.362,1.021,0.22,1.558,1.607,0.409,0.271,0.5,0.7709999999999999
6,7,1.868,-0.005,2.105,1.15,0.104,2.974,0.192,2.869,0.978,-0.054,1.173,0.716,1.297,1.159,0.085,0.158,0.01899999999999999,0.139
7,8,-3.891,-0.264,-8.385,2.184,0.744,-7.267,-2.034,-5.18,0.757,-0.348,-2.914,0.066,-2.651,0.922,-0.117,1.092,0.861,0.23099999999999998
8,9,1.637,0.013,0.569,0.355,-1.207,1.577,-0.367,1.737,1.136,0.083,1.029,0.146,1.146,1.172,0.078,1.29,1.2850000000000001,0.0050000000000000044
9,10,1.407,-0.289,1.912,1.402,0.3,1.482,0.295,1.803,1.252,0.188,1.428,0.173,1.161,0.836,-0.248,0.11199999999999999,0.548,0.436
10,11,1.535,0.369,1.243,0.83,-0.242,1.933,0.074,2.761,1.456,0.34,1.104,0.581,0.606,0.577,-0.707,0.5820000000000001,0.46499999999999997,1.047
11,12,0.994,-0.36,1.056,1.126,0.037,2.25,0.094,2.682,1.212,0.17,0.79,0.276,0.884,1.208,0.057,0.133,0.020000000000000004,0.11300000000000002
12,13,0.694,-0.272,0.348,0.555,-0.847,0.97,-0.134,0.733,0.786,-0.389,0.711,0.105,0.307,0.468,-1.004,0.45799999999999996,0.15700000000000003,0.615
13,14,1.309,0.638,1.519,1.215,0.144,2.654,0.205,4.295,1.641,0.481,0.93,1.14,0.305,0.353,-1.287,0.33699999999999997,1.4309999999999998,1.7679999999999998
14,15,2.132,-0.136,2.595,1.237,0.185,2.525,-0.098,3.524,1.415,0.33,1.039,-0.205,0.979,0.991,-0.116,0.14500000000000002,0.301,0.446
15,16,1.846,-0.066,2.143,1.185,0.138,1.486,0.169,1.644,1.137,0.084,0.795,0.622,0.471,0.647,-0.688,0.054000000000000006,0.826,0.7719999999999999
16,17,0.811,0.193,0.687,0.908,-0.261,2.542,0.502,3.132,1.253,0.206,0.965,0.156,1.192,1.294,0.198,0.46699999999999997,0.459,0.00799999999999998
17,18,1.02,0.144,0.73,0.747,-0.497,2.0,-0.028,1.2,0.61,-0.599,0.977,0.751,0.283,0.307,-1.439,0.10199999999999998,0.9420000000000001,0.8400000000000001
18,19,1.778,0.03,2.502,1.439,0.338,3.367,-0.05,4.597,1.381,0.302,0.955,0.141,0.874,0.972,-0.16,0.03600000000000003,0.498,0.46199999999999997
