,Subject,perception_dprime,perception_criterion,perception_metad,perception_mratio,perception_log_mratio,memory_dprime,memory_criterion,memory_metad,memory_mratio,memory_log_mratio,DGI_perception_memory
0,1,1.757,-0.152,2.513,1.438,0.357,1.285,0.277,1.824,1.432,0.35,0.007000000000000006
1,2,0.712,-0.39,1.271,1.115,-0.054,0.633,-0.048,0.882,1.437,0.326,0.38
2,3,1.585,-0.027,2.117,1.343,0.288,0.389,-0.37,1.28,1.674,0.261,0.02699999999999997
3,4,0.827,-0.28,1.478,1.15,-0.026,1.08,0.099,1.925,1.805,0.58,0.606
4,5,1.485,0.046,2.058,1.396,0.325,0.944,0.047,1.85,1.987,0.676,0.35100000000000003
5,6,1.318,-0.006,1.949,1.493,0.391,0.397,-0.52,1.098,1.403,0.125,0.266
6,7,1.658,0.029,2.639,1.601,0.465,0.708,-0.093,1.309,1.157,-0.023,0.48800000000000004
7,8,1.688,-0.066,2.068,1.233,0.201,1.215,0.012,1.853,1.539,0.422,0.22099999999999997
8,9,1.538,-0.048,1.844,1.207,0.179,1.482,-0.039,1.76,1.196,0.169,0.009999999999999981
9,10,0.42,-0.392,0.806,1.057,-0.105,0.339,0.164,1.251,4.119,1.344,1.449
10,11,1.058,-0.063,0.724,0.695,-0.416,0.585,0.166,0.795,1.406,0.288,0.704
11,12,2.043,0.061,2.059,1.013,0.005,1.224,-0.272,1.644,0.953,-0.179,0.184
12,13,0.89,0.08,0.811,0.926,-0.11,0.528,-0.375,0.606,1.214,0.119,0.22899999999999998
13,14,0.706,-0.318,1.113,0.998,-0.144,0.644,0.151,1.198,1.915,0.596,0.74
14,15,0.881,-0.259,1.507,1.13,-0.046,0.261,-0.294,1.191,1.899,0.36,0.40599999999999997
15,16,0.68,-0.343,1.273,1.158,-0.027,0.692,0.201,1.599,2.377,0.845,0.872
16,17,1.1,0.038,1.488,1.37,0.301,0.609,-0.073,1.091,1.858,0.586,0.285
17,18,1.026,-0.395,0.987,0.707,-0.436,0.626,-0.354,1.421,1.354,0.097,0.533
