,Subject,percept_low_scores,percept_low_rates,percept_low_dprime,percept_low_metad,percept_low_criterion,percept_low_mratio,percept_low_mdiff,percept_high_scores,percept_high_rates,percept_high_dprime,percept_high_metad,percept_high_criterion,percept_high_mratio,percept_high_mdiff,wm_high_scores,wm_high_rates,wm_high_dprime,wm_high_metad,wm_high_criterion,wm_high_mratio,wm_high_mdiff,wm_low_scores,wm_low_rates,wm_low_dprime,wm_low_metad,wm_low_criterion,wm_low_mratio,wm_low_mdiff,percept_low_mratio_log,percept_high_mratio_log,wm_low_mratio_log,wm_high_mratio_log,DGI_percept_low_percept_high,DGI_percept_low_wm_low,DGI_percept_low_wm_high,DGI_percept_high_wm_low,DGI_percept_high_wm_high,DGI_wm_low_wm_high
0,1,"(60, 17, 30, 56)","(0.7792207792207793, 0.3488372093023256)",1.161780164090285,0.9506932501625168,-0.1905512734735772,0.8183073524128751,-0.2110869139277682,"(49, 31, 24, 53)","(0.6125, 0.3116883116883117)",0.766470836675852,1.0609288768915306,0.1026147856648459,1.384173834314074,0.2944580402156785,"(44, 19, 15, 33)","(0.6984126984126984, 0.3125)",0.988961793816838,0.0841240074325129,-0.0155321489131085,0.0850629498110755,-0.904837786384325,"(47, 14, 17, 51)","(0.7704918032786885, 0.25)",1.3892894077314288,0.4328728081072697,-0.0329888592227443,0.3115785708134836,-0.9564165996241591,-0.20051727650459394,0.32510345213619113,-1.1661037388090625,-2.464363710577668,0.525620728640785,0.9655864623044685,2.263846434073074,1.4912071909452536,2.789467162713859,1.2982599717686054
1,2,"(35, 47, 20, 56)","(0.4268292682926829, 0.2631578947368421)",0.4420385221674663,-0.0455244720809379,0.4090462189372221,-0.1029875673679205,-0.4875629942484043,,,,,,,,"(28, 22, 25, 33)","(0.56, 0.43103448275862066)",0.2732577600054405,-0.0852445418487136,0.0113859232074977,-0.3119565272254901,-0.3585023018541541,"(30, 31, 27, 44)","(0.4918032786885246, 0.38028169014084506)",0.2592741013598519,0.2140156228851039,0.1626443159364302,0.8254415761644744,-0.045258478474748,,,-0.19183679200361853,,,,,,,
2,3,"(38, 32, 21, 60)","(0.5428571428571428, 0.25925925925925924)",0.7427052753176326,1.27022883551374,0.26899817844644,1.7102730756429612,0.5275235601961072,"(49, 34, 20, 66)","(0.5903614457831325, 0.23255813953488372)",0.946131319797567,1.0480815964452832,0.2509866651372734,1.107754890377722,0.1019502766477161,"(46, 19, 16, 45)","(0.7076923076923077, 0.26229508196721313)",1.1991672877095243,0.5935819224901828,0.0448151115164344,0.4949950924895199,-0.6055853652193417,"(43, 14, 21, 36)","(0.7543859649122807, 0.3684210526315789)",1.0045170818927738,0.6974324873484916,-0.1761593702668014,0.6942962941300568,-0.3070845945442821,0.5366530511233982,0.10233534578211737,-0.36485647280008554,-0.7032074306251784,0.4343177053412809,0.9015095239234838,1.2398604817485768,0.46719181858220293,0.8055427764072958,0.3383509578250929
3,4,"(72, 12, 7, 71)","(0.8571428571428571, 0.08974358974358974)",2.4321255250646088,1.2816750905707055,0.1373825780995599,0.5269773608977926,-1.1504504344939033,"(69, 10, 10, 69)","(0.8734177215189873, 0.12658227848101267)",2.241003534149401,1.7537089871226192,-0.0,0.7825552081461843,-0.487294547026782,"(51, 18, 13, 42)","(0.7391304347826086, 0.23636363636363636)",1.3780468407859807,-0.1660896643981255,0.0386908942969524,-0.1205254128396643,-1.5441365051841065,"(43, 16, 15, 42)","(0.7288135593220338, 0.2631578947368421)",1.2445999401477654,0.4680157967846379,0.0122056668828514,0.3760371358599556,-0.7765841433631275,-0.6405976898117267,-0.24519080551516323,-0.9780673748842535,,0.39540688429656345,0.33746968507252684,,0.7328765693690903,,
4,5,"(47, 29, 26, 63)","(0.618421052631579, 0.29213483146067415)",0.860894112067917,0.6067190254497723,0.1229111218092052,0.7047545301389022,-0.2541750866181447,"(54, 30, 20, 51)","(0.6428571428571429, 0.28169014084507044)",0.9190673929126488,0.7163519647976561,0.1058607976138478,0.7794335544071906,-0.2027154281149928,"(39, 20, 14, 49)","(0.6610169491525424, 0.2222222222222222)",1.1581341164129753,-0.0930077767867859,0.1747347564801578,-0.0803082954458278,-1.251141893199761,"(43, 10, 22, 43)","(0.8113207547169812, 0.3384615384615385)",1.2716174423615092,0.1257689157588806,-0.2330541471186008,0.0989046796380178,-1.1458485266026286,-0.3499057210001998,-0.24918783541685827,-2.3135987246071776,,0.10071788558334152,1.963693003606978,,2.0644108891903192,,
5,6,"(63, 13, 21, 53)","(0.8289473684210527, 0.28378378378378377)",1.4875778383142064,0.9846849398722431,-0.1891881152521179,0.6619384307231511,-0.5028928984419633,"(76, 13, 17, 64)","(0.8539325842696629, 0.20987654320987653)",1.831062519495556,1.5360144592105536,-0.1233001186397053,0.8388651085675185,-0.2950480602850025,"(42, 14, 10, 51)","(0.75, 0.16393442622950818)",1.5888925673234504,0.8826813825856507,0.1519628877619657,0.5555324511792266,-0.7062111847377998,"(40, 15, 20, 48)","(0.7272727272727273, 0.29411764705882354)",1.125172353359511,1.205192114806772,-0.0315951307270747,1.0711177813855273,0.0800197614472608,-0.4125827323202802,-0.17570536188003935,0.06870275870146536,-0.587828253644311,0.23687737044024085,0.48128549102174556,0.17524552132403082,0.2444081205815047,0.41212289176427164,0.6565310123457764
6,7,"(66, 22, 33, 50)","(0.75, 0.39759036144578314)",0.9221060868265598,0.6817821453882604,-0.2074503106964674,0.7393749538457366,-0.2403239414382993,"(59, 18, 15, 57)","(0.7662337662337663, 0.20833333333333334)",1.5038343139077126,0.9439648341196172,0.0428590313232286,0.6277053431948398,-0.5598694797880954,"(42, 25, 12, 41)","(0.6268656716417911, 0.22641509433962265)",1.0863425835406342,-0.1003345908814758,0.2135708571683112,-0.0923599906711406,-1.18667717442211,"(37, 13, 26, 44)","(0.74, 0.37142857142857144)",0.9844744451089956,0.641684728415021,-0.1576366489306329,0.651804352670604,-0.3427897166939746,-0.30195010667283645,-0.4656844213564391,-0.4280108346773708,,0.16373431468360267,0.12606072800453433,,0.03767358667906834,,
7,8,"(63, 25, 22, 52)","(0.7159090909090909, 0.2972972972972973)",1.105855075980911,0.777095804797104,-0.0192707698621818,0.7027103475632264,-0.3287592711838069,"(47, 24, 29, 58)","(0.6619718309859155, 0.3333333333333333)",0.8670131436783943,0.3764283149758687,0.0064383396691476,0.4341667917268613,-0.4905848287025255,"(36, 32, 23, 36)","(0.5294117647058824, 0.3898305084745763)",0.3476976829691662,-0.1593278526542884,0.1029847704814784,-0.4582367397266136,-0.5070255356234548,"(32, 23, 24, 34)","(0.5818181818181818, 0.41379310344827586)",0.4168566966498016,0.5279360795571927,0.0056256777542819,1.2664689899433428,0.111079382907391,-0.35281049545732934,-0.8343265059762528,0.23623270531446722,,0.48151601051892345,0.5890432007717965,,1.07055921129072,,
8,9,"(65, 15, 14, 70)","(0.8125, 0.16666666666666666)",1.8247460958589337,1.0978014065893842,0.0401375035414125,0.6016187178483227,-0.7269446892695497,"(53, 27, 15, 61)","(0.6625, 0.19736842105263158)",1.2508026472806235,1.0663875387414956,0.2158813868985863,0.8525625853606357,-0.1844151085391279,"(44, 8, 20, 36)","(0.8461538461538461, 0.35714285714285715)",1.3523049817319464,0.6456166760437093,-0.3269849379928159,0.4774194318332277,-0.706688305688237,"(55, 15, 20, 42)","(0.7857142857142857, 0.3225806451612903)",1.2305739044347883,1.1601219441306645,-0.1655720343201291,0.942748696319476,-0.070451960304124,-0.5081313933858349,-0.15950865860636548,-0.05895552569323343,-0.7393598624427885,0.3486227347794694,0.4491758676926015,0.2312284690569536,0.10055313291313206,0.579851203836423,0.680404336749555
9,10,"(61, 25, 28, 41)","(0.7093023255813954, 0.4057971014492754)",0.7693609066981361,1.0197104694178412,-0.156488892361737,1.3253993808889115,0.2503495627197051,"(68, 14, 20, 63)","(0.8292682926829268, 0.24096385542168675)",1.6290999511791484,1.5859675424362818,-0.1240361243569742,0.9735237799794622,-0.0431324087428666,"(41, 18, 18, 38)","(0.6949152542372882, 0.32142857142857145)",0.955561245773168,1.0389321115133403,-0.0230618911876556,1.087248060874125,0.0833708657401721,"(34, 26, 17, 48)","(0.5666666666666667, 0.26153846153846155)",0.7926597817638651,0.9259451474764214,0.2353578064162766,1.1681495249020497,0.1332853657125563,0.2817138335592438,-0.026833027165232955,0.15542089410803428,0.08364978897976419,0.30854686072447673,0.1262929394512095,0.1980640445794796,0.18225392127326723,0.11048281614499714,0.07177110512827009
