,Subject,oriperc_scores,oriperc_rates,oriperc_dprime,oriperc_metad,oriperc_criterion,oriperc_mratio,oriperc_mdiff,contrast_scores,contrast_rates,contrast_dprime,contrast_metad,contrast_criterion,contrast_mratio,contrast_mdiff,oriwm_scores,oriwm_rates,oriwm_dprime,oriwm_metad,oriwm_criterion,oriwm_mratio,oriwm_mdiff,oriperc_mratio_log,contrast_mratio_log,oriwm_mratio_log,DGI_oriperc_contrast,DGI_oriperc_oriwm,DGI_contrast_oriwm
0,1,"(122, 37, 29, 112)","(0.7672955974842768, 0.20567375886524822)",1.5387797291280436,0.5112476037700733,0.0457775311192045,0.3322422268064149,-1.0275321253579703,"(122, 27, 33, 118)","(0.8187919463087249, 0.2185430463576159)",1.6735955422496125,0.9396559927990512,-0.0668238456886138,0.5614594261741311,-0.7339395494505613,"(100, 50, 75, 75)","(0.6666666666666666, 0.5)",0.4276936519646241,-0.0118721266563641,-0.2153636496477287,-0.027758482273069,-0.4395657786209883,-1.1018909772789731,-0.5772157671221894,,0.5246752101567838,,
1,2,"(120, 24, 39, 117)","(0.8333333333333334, 0.25)",1.627748504553628,0.5091633143094197,-0.1464659079528096,0.3128022006378964,-1.1185851902442083,"(116, 29, 34, 121)","(0.8, 0.21935483870967742)",1.6026063530590746,1.095556514374426,-0.0336236362392861,0.6836092420844423,-0.5070498386846485,"(112, 35, 77, 76)","(0.7619047619047619, 0.5032679738562091)",0.6985988316298726,0.497984682206813,-0.3603173598363859,0.7128335457489746,-0.2006141494230595,-1.162184235048336,-0.38036880810645957,-0.3385073419955215,0.7818154269418764,0.8236768930528144,0.04186146611093805
2,3,"(113, 39, 16, 132)","(0.743421052631579, 0.10810810810810811)",1.871609077359268,0.8781890797152583,0.2913618888353547,0.4692160827486113,-0.9934199976440096,"(119, 19, 43, 119)","(0.8623188405797102, 0.2654320987654321)",1.7013308240809837,1.4547365288707326,-0.2320547090984092,0.8550579982917461,-0.2465942952102509,"(129, 23, 31, 117)","(0.8486842105263158, 0.20945945945945946)",1.822677512038325,0.9719802674457776,-0.1112541229524551,0.5332705654324987,-0.8506972445925475,-0.7566918858324335,-0.156585978086664,-0.6287263561624287,0.6001059077457696,0.12796552967000485,0.4721403780757647
3,4,"(105, 45, 34, 116)","(0.7, 0.22666666666666666)",1.2644673472713084,0.2729969577626405,0.1127344705163073,0.2158987801082896,-0.9914703895086678,"(46, 4, 9, 41)","(0.92, 0.18)",2.2434110696040683,-0.2652570589976786,-0.2448532362334094,-0.1182382767882539,-2.508668128601747,"(109, 34, 68, 89)","(0.7622377622377622, 0.43312101910828027)",0.8750012070006662,-0.1109404838601984,-0.2725427612746271,-0.1267889495152593,-0.9859416908608648,-1.5329455917400079,,,,,
4,5,"(137, 18, 44, 101)","(0.8838709677419355, 0.30344827586206896)",1.6927262290144407,-0.7411358010271768,-0.3400269510222111,-0.4378355981750751,-2.4338620300416176,"(97, 60, 7, 136)","(0.6178343949044586, 0.04895104895104895)",1.9228239954691169,0.3464247457064154,0.6776561989475092,0.1801645634351974,-1.576399249762701,"(116, 20, 62, 102)","(0.8529411764705882, 0.3780487804878049)",1.346665767233129,0.2650856360244479,-0.3692609862908575,0.1968459007977125,-1.081580131208681,,-1.7138846044493135,-1.6253340857984813,,,0.08855051865083219
5,6,"(136, 16, 21, 127)","(0.8947368421052632, 0.14189189189189189)",2.2992988570886523,1.7536983746295522,-0.0901307228814856,0.7627100623405112,-0.5456004824591001,"(102, 30, 27, 141)","(0.7727272727272727, 0.16071428571428573)",1.7244097935904406,0.7706845033232681,0.1218339399570141,0.4469265404243645,-0.9537252902671725,"(122, 24, 34, 120)","(0.8356164383561644, 0.22077922077922077)",1.730928228854265,1.142931259860028,-0.1035179912766728,0.660299624679734,-0.587996968994237,-0.27087731684729843,-0.8053610369690983,-0.41506157019047496,0.5344837201217999,0.14418425334317653,0.39029946677862337
6,7,"(112, 41, 4, 143)","(0.7320261437908496, 0.027210884353741496)",2.489253400308301,1.9814866804544515,0.6522559348737321,0.7960164602804354,-0.5077667198538496,"(124, 24, 36, 116)","(0.8378378378378378, 0.23684210526315788)",1.6873501148283032,1.2739478640678212,-0.1345564583446391,0.7549991272543056,-0.413402250760482,"(124, 17, 29, 130)","(0.8794326241134752, 0.18238993710691823)",2.0577616103576823,1.8549884697101584,-0.1329302343895027,0.9014593626264232,-0.2027731406475239,-0.22813541460729078,-0.2810386856883425,-0.1037403148629138,0.05290327108105172,0.12439509974437699,0.1772983708254287
7,8,"(108, 28, 27, 137)","(0.7941176470588235, 0.16463414634146342)",1.780700077983262,1.7492914364507668,0.0773983399622762,0.982361632977482,-0.0314086415324952,"(83, 49, 14, 154)","(0.6287878787878788, 0.08333333333333333)",1.6931721580427317,0.962827667772634,0.5271747036717733,0.5686531420913753,-0.7303444902700976,"(140, 20, 31, 109)","(0.875, 0.22142857142857142)",1.8998538169788075,1.7261934057146198,-0.1914859744579031,0.9085927508147196,-0.1736604112641877,-0.017795776731500092,-0.5644846228391636,-0.09585830410081286,0.5466888461076634,0.07806252736931277,0.4686263187383507
8,9,"(125, 35, 36, 104)","(0.78125, 0.2571428571428571)",1.417363865241398,1.4557954488634888,-0.0621213874025707,1.0271148323761912,0.0384315836220907,"(138, 21, 40, 101)","(0.8679245283018868, 0.28368794326241137)",1.673375071382819,0.2842779565951051,-0.2723566764612221,0.1698829876557128,-1.389097114787714,"(143, 7, 73, 77)","(0.9533333333333334, 0.4866666666666667)",1.681279201917159,0.3449841885917983,-0.8223212916953269,0.2051914924055526,-1.3362950133253606,0.026753738109780156,-1.7726453868320904,-1.5838116265569395,1.7993991249418706,1.6105653646667197,0.18883376027515086
9,10,"(121, 37, 22, 120)","(0.7658227848101266, 0.15492957746478872)",1.7251582600802904,0.2794879886391813,0.1451792561251979,0.1620071590569167,-1.4456702714411092,"(117, 41, 21, 121)","(0.740506329113924, 0.14788732394366197)",1.6751810877881987,0.5674136763682075,0.2003151304631584,0.3387178141542799,-1.1077674114199914,"(132, 19, 50, 99)","(0.8741721854304636, 0.33557046979865773)",1.5560917717694838,0.2164870399462955,-0.3608773055409229,0.1391222830643985,-1.3396047318231885,-1.8201147530168154,-1.0825879248690027,-1.9724019983145935,0.7375268281478127,0.15228724529777815,0.8898140734455908
